,x1_1,x2_1,x3_1,x3_2,x3_3,x4_1
d1,-1,-1,-1,-1,-1,-1
d2,-1,-1,-1,-1,-1,0
d3,-1,-1,-1,-1,-1,1
d4,-1,-1,-1,-1,0,-1
d5,-1,-1,-1,-1,0,0
d6,-1,-1,-1,-1,0,1
d7,-1,-1,-1,-1,1,-1
d8,-1,-1,-1,-1,1,0
d9,-1,-1,-1,-1,1,1
d10,-1,-1,-1,0,-1,-1
d11,-1,-1,-1,0,-1,0
d12,-1,-1,-1,0,-1,1
d13,-1,-1,-1,0,0,-1
d14,-1,-1,-1,0,0,0
d15,-1,-1,-1,0,0,1
d16,-1,-1,-1,0,1,-1
d17,-1,-1,-1,0,1,0
d18,-1,-1,-1,0,1,1
d19,-1,-1,-1,1,-1,-1
d20,-1,-1,-1,1,-1,0
d21,-1,-1,-1,1,-1,1
d22,-1,-1,-1,1,0,-1
d23,-1,-1,-1,1,0,0
d24,-1,-1,-1,1,0,1
d25,-1,-1,-1,1,1,-1
d26,-1,-1,-1,1,1,0
d27,-1,-1,-1,1,1,1
d28,-1,-1,0,-1,-1,-1
d29,-1,-1,0,-1,-1,0
d30,-1,-1,0,-1,-1,1
d31,-1,-1,0,-1,0,-1
d32,-1,-1,0,-1,0,0
d33,-1,-1,0,-1,0,1
d34,-1,-1,0,-1,1,-1
d35,-1,-1,0,-1,1,0
d36,-1,-1,0,-1,1,1
d37,-1,-1,0,0,-1,-1
d38,-1,-1,0,0,-1,0
d39,-1,-1,0,0,-1,1
d40,-1,-1,0,0,0,-1
d41,-1,-1,0,0,0,0
d42,-1,-1,0,0,0,1
d43,-1,-1,0,0,1,-1
d44,-1,-1,0,0,1,0
d45,-1,-1,0,0,1,1
d46,-1,-1,0,1,-1,-1
d47,-1,-1,0,1,-1,0
d48,-1,-1,0,1,-1,1
d49,-1,-1,0,1,0,-1
d50,-1,-1,0,1,0,0
d51,-1,-1,0,1,0,1
d52,-1,-1,0,1,1,-1
d53,-1,-1,0,1,1,0
d54,-1,-1,0,1,1,1
d55,-1,-1,1,-1,-1,-1
d56,-1,-1,1,-1,-1,0
d57,-1,-1,1,-1,-1,1
d58,-1,-1,1,-1,0,-1
d59,-1,-1,1,-1,0,0
d60,-1,-1,1,-1,0,1
d61,-1,-1,1,-1,1,-1
d62,-1,-1,1,-1,1,0
d63,-1,-1,1,-1,1,1
d64,-1,-1,1,0,-1,-1
d65,-1,-1,1,0,-1,0
d66,-1,-1,1,0,-1,1
d67,-1,-1,1,0,0,-1
d68,-1,-1,1,0,0,0
d69,-1,-1,1,0,0,1
d70,-1,-1,1,0,1,-1
d71,-1,-1,1,0,1,0
