Method,Approach,Solver,Objective,Time,Status,User_time
MINLP,bigm,antigone,19449.851511965993,899.8159998329356,optimal,NA
MINLP,hull,antigone,22271.549014171625,31.7369997035712,optimal,NA
MINLP,bigm,baron,22271.54853627558,0.785000016912818,optimal,NA
MINLP,hull,baron,19880.17762047857,900.2080000704154,optimal,NA
MINLP,bigm,scip,20916.392216060165,902.6349998312071,optimal,NA
MINLP,hull,scip,nan,900.2600001404062,maxTimeLimit,NA
MINLP,bigm,dicopt,22694.369943434536,122.2299998626113,optimal,NA
MINLP,hull,dicopt,14750.529350031513,0.9809995070099831,nonIntegerIntermediate,NA
MINLP,bigm,sbb,19346.124315787278,69.01899988297373,optimal,NA
MINLP,hull,sbb,nan,63.44800000078976,infeasible,NA
GDPopt,LOA,msnlp,20916.392215568492,167.83708760002628,optimal,NA
GDPopt,GLOA,msnlp,19346.124560227123,611.9650643998757,optimal,NA
GDPopt,LBB,msnlp,22271.548536275586,900.3800488999113,maxTimeLimit,NA
GDPopt,LOA,knitro,20916.39219143444,19.122100499924272,optimal,NA
GDPopt,GLOA,knitro,19346.124655775944,161.64928300026804,optimal,NA
GDPopt,LBB,knitro,22271.548536275586,900.5406311997212,maxTimeLimit,NA
GDPopt,LOA,baron,22271.547814607155,900.9876990001649,maxTimeLimit,NA
GDPopt,GLOA,baron,22271.547903288367,901.5952126001939,maxTimeLimit,NA
GDPopt,LBB,baron,22271.548536275586,900.3844751999713,maxTimeLimit,NA
D-SDA,k=Infinity,msnlp,19346.124800914637,80.95,optimal,72.46400169096887
D-SDA,k=2,msnlp,19449.851511967016,52.68,optimal,46.77100020926446
D-SDA,k=Infinity,knitro,19346.124800978127,8.58,optimal,0.5670005455613136
D-SDA,k=2,knitro,19449.851503696023,6.34,optimal,0.423999410122633
D-SDA,k=Infinity,baron,22271.54853627558,900.53,maxTimeLimit,900.0329997623339
D-SDA,k=2,baron,22271.54853627558,900.72,maxTimeLimit,900.1329998485744
Enumeration,total,baron,19346.124560227123,4174.26,optimal,NA
Enumeration,total,knitro,19346.124801206708,67.388715100009,optimal,NA
Enumeration,total,msnlp,19346.124560227123,317.8746708999388,optimal,NA
