Point,x,y,Objective,Status,Time,Global_Time
"[1, 1]",1,1,9.89473684210508,Optimal,1.2680000625550747,1.7456155000254512
"[2, 1]",2,1,4.061881684250358,Optimal,1.5649998094886541,10.634143699891865
"[2, 2]",2,2,4.061881684530869,Optimal,0.3480002749711275,11.39463709993288
"[3, 1]",3,1,3.314845403072348,Optimal,1.84599997010082,21.150916500017047
"[3, 2]",3,2,3.3148418606441363,Optimal,0.6110005080699921,22.18546549975872
"[3, 3]",3,3,3.3148428221857236,Optimal,0.529000349342823,23.12423129985109
"[4, 1]",4,1,3.134310610067133,Optimal,3.030999703332782,32.87701559998095
"[4, 2]",4,2,3.1343322550000545,Optimal,0.6829995894804597,34.00135669996962
"[4, 3]",4,3,3.1343172191759803,Optimal,0.6539996713399887,35.0728445998393
"[4, 4]",4,4,3.1337803770053,Optimal,0.8239997550845146,36.31803649989888
"[5, 1]",5,1,3.1301981330248885,Optimal,1.9999998388811946,44.77572249993682
"[5, 2]",5,2,3.130198133025464,Optimal,0.8830003906041384,46.07913549989462
"[5, 3]",5,3,3.130198005927232,Optimal,0.6870002718642354,47.18029709998518
"[5, 4]",5,4,3.1301944278808413,Optimal,1.3059996301308274,48.90586189972237
"[5, 5]",5,5,3.062012848602864,Optimal,2.6680000126361847,51.99153340002522
"[6, 1]",6,1,3.2009667148882386,Optimal,5.113000329583883,64.30099549982697
"[6, 2]",6,2,3.2009635064745288,Optimal,1.1400002287700772,65.86151229962707
"[6, 3]",6,3,3.2009737466815773,Optimal,1.1679999763146043,67.4476487999782
"[6, 4]",6,4,3.2009765945854904,Optimal,0.8269996382296085,68.69174169981852
"[6, 5]",6,5,3.2009749338248126,Optimal,2.3120002588257194,71.42822709959
"[6, 6]",6,6,3.0072779740009117,Optimal,1.878999941982329,73.72272569965571
"[7, 1]",7,1,3.287125771523416,Optimal,3.9649999933317304,83.61946829967201
"[7, 2]",7,2,3.2871347895628356,Optimal,1.3029997469857335,85.34411599999294
"[7, 3]",7,3,3.2871401313555544,Optimal,2.658000192604959,88.42068729968742
"[7, 4]",7,4,3.2871513562911248,Optimal,1.235999632626772,90.07462779991329
"[7, 5]",7,5,3.2871402022995873,Optimal,1.257000071927905,91.75574839999899
"[7, 6]",7,6,3.2694338313571985,Optimal,1.681999652646482,93.86073479987681
"[7, 7]",7,7,2.966047072289017,Optimal,2.939999895170331,97.22338619967923
"[8, 1]",8,1,3.3561667804761406,Optimal,3.9550001733005047,106.8547098999843
"[8, 2]",8,2,3.3561713251794343,Optimal,1.2699997751042247,108.554141999688
"[8, 3]",8,3,3.3561695301863783,Optimal,2.6429995195940137,111.6214138995856
"[8, 4]",8,4,3.3561733947944403,Optimal,2.3319998988881707,114.37765479972586
"[8, 5]",8,5,3.3561752103104663,Optimal,1.031000493094325,116.81950109964237
"[8, 6]",8,6,3.356175234844319,Optimal,5.768000171519816,123.00638169981539
"[8, 7]",8,7,3.262786594143326,Optimal,2.607000293210149,126.06120059965178
"[8, 8]",8,8,2.9344051030481877,Optimal,3.1250000232830644,129.5981898996979
"[9, 1]",9,1,3.407928672212802,Optimal,7.38599959295243,142.36138419993222
"[9, 2]",9,2,3.4079211878283155,Optimal,3.2349999295547605,146.0145441996865
"[9, 3]",9,3,3.407925455536291,Optimal,1.0660001775249839,147.51284219976515
"[9, 4]",9,4,3.4079286722128,Optimal,1.3580003287643194,149.29745519999415
"[9, 5]",9,5,3.407928672212892,Optimal,1.2709999457001686,150.98946369998157
"[9, 6]",9,6,3.4079286720820514,Optimal,2.998999902047217,154.414286499843
"[9, 7]",9,7,3.400568954514717,Optimal,5.4970004595816135,160.3377042999491
"[9, 8]",9,8,3.222036566900643,Optimal,12.093000439926982,172.85364490002394
"[9, 9]",9,9,2.9095305073578563,Optimal,10.927999718114734,184.22390019986778
"[10, 1]",10,1,3.4479421516617546,Optimal,4.675999958999455,193.99765999987721
"[10, 2]",10,2,3.447951492944733,Optimal,1.454000361263752,195.89932399988174
"[10, 3]",10,3,3.447964031658259,Optimal,4.638000391423702,200.9586051995866
"[10, 4]",10,4,3.4479530101849973,Optimal,2.5899999076500535,203.98042659973726
"[10, 5]",10,5,3.4479511536004903,Optimal,1.1620002100244164,205.5729446997866
"[10, 6]",10,6,3.447960898884025,Optimal,1.4909997582435608,207.48597169993445
"[10, 7]",10,7,3.4479640292319953,Optimal,1.6949999844655395,209.60410849982873
"[10, 8]",10,8,3.399830157777501,Optimal,3.6829996621236205,213.70004329970106
"[10, 9]",10,9,3.1769950930635975,Optimal,19.51600005850196,233.63066060002893
"[10, 10]",10,10,2.8895360029077852,Optimal,28.3729997696355,262.41925469972193
"[11, 1]",11,1,3.479897075481662,Optimal,1.3619997538626194,268.502666299697
"[11, 2]",11,2,3.479894328079184,Optimal,1.9369997782632709,270.86511559970677
"[11, 3]",11,3,3.479898294234474,Optimal,2.5030001532286406,273.79498380003497
"[11, 4]",11,4,3.479883939273617,Optimal,4.356000060215592,279.61651899991557
"[11, 5]",11,5,3.4799003459701305,Optimal,1.480000396259129,281.5162374000065
"[11, 6]",11,6,3.4798607617574953,Optimal,4.653999977745116,286.59407230000943
"[11, 7]",11,7,3.479901676894113,Optimal,4.061999567784369,291.07660169992596
"[11, 8]",11,8,3.4774820068005616,Optimal,2.2059997776523232,293.7038709996268
"[11, 9]",11,9,3.37158458807278,Optimal,3.5399997839704156,297.6698620999232
"[11, 10]",11,10,3.1359254660237825,Optimal,11.96600014809519,310.06054009962827
"[11, 11]",11,11,2.8731398264092807,Optimal,4.7170000383630395,315.19773150002584
"[12, 1]",12,1,3.506004043176407,Optimal,12.725999671965837,332.4049360998906
"[12, 2]",12,2,3.5059978872913318,Optimal,1.6920001013204455,334.52431209990755
"[12, 3]",12,3,3.505988284015171,Optimal,2.5580001063644886,337.5117022995837
"[12, 4]",12,4,3.506004043176407,Optimal,6.689000129699707,344.6376616996713
"[12, 5]",12,5,3.506004043176407,Optimal,2.990000252611935,348.06388939963654
"[12, 6]",12,6,3.5060040431764077,Optimal,1.8119998276233673,350.3420205996372
"[12, 7]",12,7,3.5060040431764077,Optimal,1.8970004981383681,352.6717290999368
"[12, 8]",12,8,3.506002420114797,Optimal,2.8090001782402396,355.91203979961574
"[12, 9]",12,9,3.4808370969245988,Optimal,15.627999999560416,371.96592490002513
"[12, 10]",12,10,3.332639673593317,Optimal,18.283999850973487,390.6757230996154
"[12, 11]",12,11,3.100149734089196,Optimal,28.90600017271936,420.0165719999932
"[12, 12]",12,12,2.8594615170807467,Optimal,48.51799963507801,468.9627592996694
"[13, 1]",13,1,3.527619110642462,Optimal,11.480999761261046,484.59223279962316
"[13, 2]",13,2,3.5277496817793903,Optimal,1.4959999825805426,486.51066449983045
"[13, 3]",13,3,3.5277538253175793,Optimal,1.7960002413019538,488.7314263000153
"[13, 4]",13,4,3.527753831663333,Optimal,1.5240003587678075,490.6720642996952
"[13, 5]",13,5,3.527753831663414,Optimal,1.5799998538568616,492.6804037997499
"[13, 6]",13,6,3.527753831663414,Optimal,1.8920002738013864,494.99473789986223
"[13, 7]",13,7,3.527743119123443,Optimal,2.407000120729208,497.8255107998848
"[13, 8]",13,8,3.527753831663414,Optimal,2.486999938264489,500.7541244998574
"[13, 9]",13,9,3.5272915327535554,Optimal,10.4860003804788,511.65481869969517
"[13, 10]",13,10,3.4631006666642623,Optimal,14.528999850153923,526.6107218000107
"[13, 11]",13,11,3.2918721716423036,Optimal,46.134000294841826,573.1641810997389
"[13, 12]",13,12,3.069293946384812,Optimal,5.852000042796135,579.4575827997178
"[13, 13]",13,13,2.847887809594415,Optimal,55.34399987664074,635.2256199996918
"[14, 1]",14,1,3.5461619900516643,Optimal,4.505999875254929,643.5958163999021
"[14, 2]",14,2,3.54616316210001,Optimal,5.82199995405972,649.8383763995953
"[14, 3]",14,3,3.546165529715157,Optimal,1.8659996101632714,653.2368479999714
"[14, 4]",14,4,3.5461653779156816,Optimal,1.7169999657198787,655.394506199751
"[14, 5]",14,5,3.546161698130684,Optimal,2.96199987642467,658.7821050998755
"[14, 6]",14,6,3.5461656127309644,Optimal,3.0330000445246696,662.2455650996417
"[14, 7]",14,7,3.5461588354885585,Optimal,2.436000038869679,665.1045721997507
"[14, 8]",14,8,3.546165612608359,Optimal,4.279000125825405,669.8025887999684
"[14, 9]",14,9,3.546165275371982,Optimal,3.241000324487686,673.4723004000261
"[14, 10]",14,10,3.53306232457437,Optimal,36.95799959823489,710.8545430996455
"[14, 11]",14,11,3.4336269598380373,Optimal,5.384000041522086,716.6592250997201
"[14, 12]",14,12,3.253049846662446,Optimal,21.04300030041486,738.1181948999874
"[14, 13]",14,13,3.042641426236108,Optimal,6.7870005033910275,745.3673774995841
"[14, 14]",14,14,2.83797911330914,Optimal,23.968000151216984,769.7643935997039
"[15, 1]",15,1,3.5619586331225634,Optimal,5.461999517865479,778.8547546998598
"[15, 2]",15,2,3.561958633122611,Optimal,1.6460004262626171,780.9404798997566
"[15, 3]",15,3,3.5619586331225577,Optimal,2.2499997401610017,783.6247431999072
"[15, 4]",15,4,3.561958633122611,Optimal,3.1199997989460826,787.1878979997709
"[15, 5]",15,5,3.561956096093585,Optimal,1.8709998345002532,789.4908101996407
"[15, 6]",15,6,3.561958620656936,Optimal,1.9170001382008195,791.8430151999928
"[15, 7]",15,7,3.561958633122611,Optimal,4.450000380165875,796.722946899943
"[15, 8]",15,8,3.5619585839104317,Optimal,2.5400001788511872,799.6914287996478
"[15, 9]",15,9,3.56195863290008,Optimal,3.0129997758194804,803.1322758998722
"[15, 10]",15,10,3.561957642470873,Optimal,3.0939997639507055,806.677790499758
"[15, 11]",15,11,3.522585899286871,Optimal,5.09199989028275,812.2034380999394
"[15, 12]",15,12,3.3990445963198885,Optimal,54.708999674767256,867.3380370000377
"[15, 13]",15,13,3.2174509446647734,Optimal,7.312000170350075,875.0785623998381
"[15, 14]",15,14,3.0194912856988583,Optimal,23.341000056825578,898.8474388998002
"[15, 15]",15,15,2.8293899526013475,Optimal,6.906000059098005,906.1786708999425
