Point,x,y,Objective,Status,Time,Global_Time
"[1, 1]",1,1,9.894736852066055,Optimal,1.9489999394863844,3.027743300423026
"[2, 1]",2,1,4.061881684545389,Optimal,1.8329996382817626,12.582877499982715
"[2, 2]",2,2,4.061881684602578,Optimal,0.839999970048666,13.835023800376803
"[3, 1]",3,1,3.3148454005029446,Optimal,1.4219999313354492,22.79414220014587
"[3, 2]",3,2,3.3148454031826518,Optimal,0.8500004187226295,24.050658500287682
"[3, 3]",3,3,3.314845403084478,Optimal,8.631999674253166,33.091601700056344
"[4, 1]",4,1,3.1343370221177826,Optimal,1.9459994276985526,42.09578420035541
"[4, 2]",4,2,3.134336884810376,Optimal,0.9380003437399864,43.434339500032365
"[4, 3]",4,3,3.134336843886038,Optimal,1.0270004393532872,44.87894460000098
"[4, 4]",4,4,3.133783810293883,Optimal,1.117000076919794,46.48241430008784
"[5, 1]",5,1,3.1301981330390927,Optimal,1.9370004069060087,55.185753600206226
"[5, 2]",5,2,3.1301983328072733,Optimal,1.3659998076036572,56.962217499967664
"[5, 3]",5,3,3.130197860533773,Optimal,1.0780003387480974,58.46270140027627
"[5, 4]",5,4,3.130198132413593,Optimal,5.246999929659069,64.11590660037473
"[5, 5]",5,5,3.0620145756329427,Optimal,0.9660000912845135,65.48606540029868
"[6, 1]",6,1,3.2009765945855038,Optimal,1.764999981969595,73.76516850013286
"[6, 2]",6,2,3.2009754521839406,Optimal,1.119000418111682,75.29642020026222
"[6, 3]",6,3,3.2009765950115883,Optimal,7.210000371560454,82.92306530009955
"[6, 4]",6,4,3.2009765946090343,Optimal,1.0250000981613994,84.35546860005707
"[6, 5]",6,5,3.2009765975486246,Optimal,1.037000259384513,85.7902999999933
"[6, 6]",6,6,3.0072779743014597,Optimal,1.1590003268793225,87.35237550036982
"[7, 1]",7,1,3.2871513562907086,Optimal,2.0900001050904393,95.5678620999679
"[7, 2]",7,2,3.28715135631377,Optimal,1.065999548882246,97.0384551002644
"[7, 3]",7,3,3.2871513561416488,Optimal,1.065999548882246,98.5082084001042
"[7, 4]",7,4,3.287151329228235,Optimal,1.233999920077622,100.27637300034985
"[7, 5]",7,5,3.287151503532592,Optimal,1.3270000694319606,102.0095621002838
"[7, 6]",7,6,3.269433830297936,Optimal,1.0449997382238507,103.47079600021243
"[7, 7]",7,7,2.966047072230453,Optimal,1.173000200651586,105.07167480001226
"[8, 1]",8,1,3.356175235130354,Optimal,2.2059997776523232,113.14496960025281
"[8, 2]",8,2,3.3561755187846534,Optimal,1.036000088788569,114.59318660013378
"[8, 3]",8,3,3.356175154588491,Optimal,1.5820001950487494,116.58082520030439
"[8, 4]",8,4,3.356175166384589,Optimal,1.3200001325458288,118.33868970023468
"[8, 5]",8,5,3.356176668593267,Optimal,1.2540001887828112,120.00053120031953
"[8, 6]",8,6,3.356175348960438,Optimal,1.0819997638463974,121.48168770037591
"[8, 7]",8,7,3.2627898424383255,Optimal,1.3669999781996012,123.27325189998373
"[8, 8]",8,8,2.9344051030756755,Optimal,1.2129994807764888,124.89224980026484
"[9, 1]",9,1,3.4079286711177117,Optimal,1.819999935105443,132.34508370002732
"[9, 2]",9,2,3.4079286595681193,Optimal,1.038999971933663,133.80360910017043
"[9, 3]",9,3,3.4079168884645448,Optimal,0.9399994276463985,135.16413450008258
"[9, 4]",9,4,3.4079286722338757,Optimal,1.1279994389042258,136.6961511000991
"[9, 5]",9,5,3.4079287282619064,Optimal,1.567000150680542,138.69550990033895
"[9, 6]",9,6,3.4079286712946595,Optimal,1.176999625749886,140.27798490040004
"[9, 7]",9,7,3.4005717046588706,Optimal,1.2259998125955462,141.90941460011527
"[9, 8]",9,8,3.222038802861384,Optimal,1.1149997357279062,143.43960380041972
"[9, 9]",9,9,2.909533007780527,Optimal,1.2739998288452625,145.1282799001783
"[10, 1]",10,1,3.4479640366809785,Optimal,1.877999771386385,152.39470269996673
"[10, 2]",10,2,3.447964002962372,Optimal,1.1320001212880015,153.93976670037955
"[10, 3]",10,3,3.4479680659761436,Optimal,1.1109996819868684,155.46382920024917
"[10, 4]",10,4,3.447967577449832,Optimal,1.3059996301308274,157.18550710007548
"[10, 5]",10,5,3.4479640354852292,Optimal,1.4600001275539398,159.05351800005883
"[10, 6]",10,6,3.447964170971297,Optimal,2.1930000744760036,161.6536941002123
"[10, 7]",10,7,3.4479637657650346,Optimal,1.4670000644400716,163.5566254002042
"[10, 8]",10,8,3.399830155964728,Optimal,1.3059996301308274,165.28098720032722
"[10, 9]",10,9,3.1770021621064695,Optimal,1.2600005837157369,166.95296040037647
"[10, 10]",10,10,2.8895369659744845,Optimal,1.1159999063238502,168.48017190024257
"[11, 1]",11,1,3.4799016810990273,Optimal,1.9949996145442128,175.3809736999683
"[11, 2]",11,2,3.4799016617758496,Optimal,1.0850002756342292,176.88059820001945
"[11, 3]",11,3,3.4799017125971066,Optimal,1.0129999369382858,178.31667500035837
"[11, 4]",11,4,3.4799018204830094,Optimal,1.0269998107105494,179.75521930027753
"[11, 5]",11,5,3.4799017673388817,Optimal,1.1910001281648874,181.5426243999973
"[11, 6]",11,6,3.479901677088988,Optimal,1.2660003500059247,183.24732300033793
"[11, 7]",11,7,3.4798695921441625,Optimal,1.1660002637654543,184.82535389997065
"[11, 8]",11,8,3.4774899531648193,Optimal,1.368000148795545,186.60561640001833
"[11, 9]",11,9,3.3715845880748683,Optimal,1.3649996370077133,188.41472350014374
"[11, 10]",11,10,3.1359253818839967,Optimal,1.0869999881833792,189.90510690025985
"[11, 11]",11,11,2.8731402262406145,Optimal,1.2350000906735659,191.5497865001671
"[12, 1]",12,1,3.506004043168649,Optimal,2.127999672666192,198.4023343003355
"[12, 2]",12,2,3.506005335263906,Optimal,0.9860003599897027,199.80721260001883
"[12, 3]",12,3,3.506004024600264,Optimal,1.0719999438151717,201.2910718000494
"[12, 4]",12,4,3.5060033524287384,Optimal,2.1099997451528907,203.82217749999836
"[12, 5]",12,5,3.506003996381776,Optimal,1.4439999125897884,205.6794915003702
"[12, 6]",12,6,3.5060073342478355,Optimal,1.4900002162903547,207.5749360001646
"[12, 7]",12,7,3.506004048117638,Optimal,1.2620002962648869,209.2589468001388
"[12, 8]",12,8,3.5060040400830483,Optimal,1.2940000975504518,210.9673271002248
"[12, 9]",12,9,3.480837097256909,Optimal,1.734000351279974,213.10657340008765
