Point,x,y,Objective,Status
"[7, 1]",7,1,nan,Evaluated_Infeasible
"[8, 1]",8,1,nan,Evaluated_Infeasible
"[9, 1]",9,1,nan,Optimal
"[9, 2]",9,2,nan,Optimal
"[10, 1]",10,1,22973.104734020333,Optimal
"[10, 2]",10,2,22959.80438359162,Optimal
"[10, 3]",10,3,nan,Optimal
"[11, 1]",11,1,20881.937170867728,Optimal
"[11, 2]",11,2,20392.2194984589,Optimal
"[11, 3]",11,3,20355.058452221725,Optimal
"[11, 4]",11,4,21360.457892960498,Optimal
"[12, 1]",12,1,20515.88949800049,Optimal
"[12, 2]",12,2,19853.73215998866,Optimal
"[12, 3]",12,3,19449.849623564136,Optimal
"[12, 4]",12,4,19565.860412548915,Optimal
"[12, 5]",12,5,20916.391670183544,Optimal
"[13, 1]",13,1,20837.079572705155,Optimal
"[13, 2]",13,2,20100.29564692987,Optimal
"[13, 3]",13,3,19548.719327768864,Optimal
"[13, 4]",13,4,19346.12479665248,Optimal
"[13, 5]",13,5,19880.17759948612,Optimal
"[13, 6]",13,6,22283.53682353709,Optimal
"[14, 1]",14,1,21474.04367828794,Optimal
"[14, 2]",14,2,20701.292623961916,Optimal
"[14, 3]",14,3,20081.396813010222,Optimal
"[14, 4]",14,4,19740.340824981875,Optimal
"[14, 5]",14,5,19956.974714475058,Optimal
"[14, 6]",14,6,21453.288221346727,Optimal
"[14, 7]",14,7,nan,Optimal
"[15, 1]",15,1,22271.54853627558,Optimal
"[15, 2]",15,2,21480.408073676466,Optimal
"[15, 3]",15,3,20826.432263432962,Optimal
"[15, 4]",15,4,20418.812754124257,Optimal
"[15, 5]",15,5,20491.91404736109,Optimal
"[15, 6]",15,6,21621.62842607897,Optimal
"[15, 7]",15,7,nan,Optimal
"[15, 8]",15,8,nan,Optimal
"[15, 9]",15,9,nan,Evaluated_Infeasible
