Point,x,y,Objective,Status
"[1, 1]",1,1,9.89473684210508,Optimal
"[2, 1]",2,1,4.061881684250358,Optimal
"[2, 2]",2,2,4.061881684530869,Optimal
"[3, 1]",3,1,3.314845400671847,Optimal
"[3, 2]",3,2,3.3148418606441363,Optimal
"[3, 3]",3,3,3.3148454030723977,Optimal
"[4, 1]",4,1,3.134310610067133,Optimal
"[4, 2]",4,2,3.1343322550000545,Optimal
"[4, 3]",4,3,3.134332770154544,Optimal
"[4, 4]",4,4,3.133780830880708,Optimal
"[5, 1]",5,1,3.130192211858029,Optimal
"[5, 2]",5,2,3.130198133025464,Optimal
"[5, 3]",5,3,3.130196315508018,Optimal
"[5, 4]",5,4,3.130197440848297,Optimal
"[5, 5]",5,5,3.062012848602864,Optimal
"[6, 1]",6,1,3.2009667148882386,Optimal
"[6, 2]",6,2,3.2009635064745288,Optimal
"[6, 3]",6,3,3.2009737466815773,Optimal
"[6, 4]",6,4,3.2009719462218804,Optimal
"[6, 5]",6,5,3.2009749338248126,Optimal
"[6, 6]",6,6,3.0072779739940976,Optimal
"[7, 1]",7,1,3.287146801538655,Optimal
"[7, 2]",7,2,3.2871422292363732,Optimal
"[7, 3]",7,3,3.2871401313555544,Optimal
"[7, 4]",7,4,3.287146126876238,Optimal
"[7, 5]",7,5,3.2871402022995873,Optimal
"[7, 6]",7,6,3.2694285176846103,Optimal
"[7, 7]",7,7,2.966047072289017,Optimal
"[8, 1]",8,1,3.3561646113468266,Optimal
"[8, 2]",8,2,3.3561592466868273,Optimal
"[8, 3]",8,3,3.3561752351284286,Optimal
"[8, 4]",8,4,3.3561355704059728,Optimal
"[8, 5]",8,5,3.3561752103104663,Optimal
"[8, 6]",8,6,3.3561752348443186,Optimal
"[8, 7]",8,7,3.262779566295526,Optimal
"[8, 8]",8,8,2.9344048602348494,Optimal
"[9, 1]",9,1,3.4079216133202546,Optimal
"[9, 2]",9,2,3.4079285122766025,Optimal
"[9, 3]",9,3,3.407928672212802,Optimal
"[9, 4]",9,4,3.4079247280373455,Optimal
"[9, 5]",9,5,3.407928672212892,Optimal
"[9, 6]",9,6,3.4079286720820514,Optimal
"[9, 7]",9,7,3.400570842065301,Optimal
"[9, 8]",9,8,3.222038820747206,Optimal
"[9, 9]",9,9,2.9095305073578563,Optimal
"[10, 1]",10,1,3.447943448658835,Optimal
"[10, 2]",10,2,3.4479531206027674,Optimal
"[10, 3]",10,3,3.4479539643115693,Optimal
"[10, 4]",10,4,3.4479619435922273,Optimal
"[10, 5]",10,5,3.447951008594572,Optimal
"[10, 6]",10,6,3.447960898878164,Optimal
