Point,x,y,Objective,Status
"[2, 2, 1]",2,2,167427.65711470306,Optimal
"[2, 2, 2]",2,2,204601.96762877452,Optimal
"[2, 2, 3]",2,2,241776.27814284601,Optimal
"[2, 3, 1]",2,3,178545.19583897587,Optimal
"[2, 3, 2]",2,3,209964.94866578083,Optimal
"[2, 3, 3]",2,3,241384.70149258256,Optimal
"[3, 2, 1]",3,2,185768.8125052478,Optimal
"[3, 2, 2]",3,2,222943.12301931926,Optimal
"[3, 2, 3]",3,2,260117.43353339075,Optimal
"[3, 3, 1]",3,3,181201.6655117858,Optimal
"[3, 3, 2]",3,3,210580.838346606,Optimal
"[3, 3, 3]",3,3,239960.0111814262,Optimal
