Point,x,y,Objective,Status,Time,Global_Time
"[7, 1]",7,1,nan,Evaluated_Infeasible,1.6339996363967657,24.348740700166672
"[8, 1]",8,1,nan,Evaluated_Infeasible,1.6279998701065779,29.611250599846244
"[9, 1]",9,1,nan,No_Sol_Found,3600,886.9014548999257
"[9, 2]",9,2,nan,No_Sol_Found,3600,1787.7033370002173
"[10, 1]",10,1,22973.103034432046,Optimal,900.1139997504652,2691.75787020009
"[10, 2]",10,2,22959.802614013148,Optimal,900.1270000822842,3592.3569396999665
"[10, 3]",10,3,nan,No_Sol_Found,3600,4493.085429800209
"[11, 1]",11,1,20881.93717086511,Optimal,900.1659998204559,5396.631692800205
"[11, 2]",11,2,20392.21943869529,Optimal,900.1399997854605,6297.249053200241
"[11, 3]",11,3,20355.05845221792,Optimal,900.1930000260472,7197.908715900034
"[11, 4]",11,4,21360.457128960104,Optimal,900.249000149779,8098.61156440014
"[12, 1]",12,1,20515.889497882155,Optimal,900.1219998579472,9002.363316699862
"[12, 2]",12,2,19853.73215995112,Optimal,900.117000262253,9902.972739300225
"[12, 3]",12,3,19449.851339846966,Optimal,900.1219998579472,10900.887869399972
"[14, 7]",14,7,nan,No_Sol_Found,3600,1787.7033370002173
"[15, 7]",15,7,nan,No_Sol_Found,3600,1787.7033370002173
"[15, 8]",15,8,nan,No_Sol_Found,3600,1787.7033370002173
"[15, 9]",15,9,nan,No_Sol_Found,3600,1787.7033370002173
"[15, 9]",15,9,19346.1248,Optimal,3600,1787.7033370002173
