Point,x,y,Objective,Status,Time,Global_Time
"[7, 1]",7,1,22694.369865884568,Evaluated_Infeasible,0.07800010498613119,22.71848630020395
"[8, 1]",8,1,22694.369865884568,Evaluated_Infeasible,0.07800010498613119,26.678615000098944
"[10, 1]",10,1,22973.105128210686,Optimal,0.037999567575752735,35.19859889987856
"[10, 2]",10,2,22959.805989105003,Optimal,0.03700002562254667,35.68828690005466
"[11, 1]",11,1,20881.93717555801,Optimal,0.046999845653772354,39.812875899951905
"[11, 2]",11,2,20392.21950363311,Optimal,0.03899973817169666,40.31649720016867
"[11, 3]",11,3,20355.05845896715,Optimal,0.037999567575752735,40.81124539999291
"[11, 4]",11,4,21360.458272745003,Optimal,0.03700002562254667,41.29213220020756
"[12, 1]",12,1,20515.889501374233,Optimal,0.03999990876764059,44.6260877000168
"[12, 2]",12,2,19853.732163716795,Optimal,0.03500031307339668,45.14812960010022
"[12, 3]",12,3,19449.851511410856,Optimal,0.03499968443065882,45.6536119999364
"[12, 4]",12,4,19565.860544211824,Optimal,0.03500031307339668,46.143761599902064
"[12, 5]",12,5,20916.392215921725,Optimal,0.035999855026602745,46.61865800013766
"[13, 1]",13,1,20837.080492241992,Optimal,0.045999675057828426,49.787828700151294
"[13, 2]",13,2,20100.295903099293,Optimal,0.04100007936358452,50.316793099977076
"[13, 3]",13,3,19548.719331155953,Optimal,0.03700002562254667,50.84141770005226
"[13, 4]",13,4,19346.124801206708,Optimal,0.035999855026602745,51.34841630002484
"[13, 5]",13,5,19880.177620331582,Optimal,0.035999855026602745,51.84205019986257
"[13, 6]",13,6,22283.537069014114,Optimal,0.03900036681443453,52.34400130016729
"[14, 1]",14,1,21474.04367929219,Optimal,0.0380001962184906,55.280668599996716
"[14, 2]",14,2,20701.29307206995,Optimal,0.03899973817169666,55.81988129997626
"[14, 3]",14,3,20081.39659233381,Optimal,0.034000142477452755,56.35396290011704
"[14, 4]",14,4,19740.340832479393,Optimal,0.03700002562254667,56.86930719995871
"[14, 5]",14,5,19956.974872047333,Optimal,0.037999567575752735,57.40074500022456
"[14, 6]",14,6,21453.288228830643,Optimal,0.035999855026602745,57.894403900019825
"[15, 1]",15,1,22271.5489397914,Optimal,0.03600048366934061,60.823243000078946
"[15, 2]",15,2,21480.411598013477,Optimal,0.045000133104622364,61.373360299970955
"[15, 3]",15,3,20826.432130177658,Optimal,0.03600048366934061,61.91342840017751
"[15, 4]",15,4,20746.757678308033,Optimal,0.04800001624971628,62.73398480005562
"[15, 5]",15,5,20491.914145365343,Optimal,0.05799983628094196,63.278907699976116
"[15, 6]",15,6,21621.632431024544,Optimal,0.04100007936358452,63.82734470022842
"[13, 4]",13,4,19346.124801206708,Final,0.03500031307339668,67.388715100009
"[14, 7]",14,7,nan,No_Sol_Found,3600,1787.7033370002173
"[15, 7]",15,7,nan,No_Sol_Found,3600,1787.7033370002173
"[15, 8]",15,8,nan,No_Sol_Found,3600,1787.7033370002173
"[15, 9]",15,9,nan,No_Sol_Found,3600,1787.7033370002173
"[10, 3]",10,3,nan,No_Sol_Found,3600,4493.085429800209
"[9, 1]",9,1,nan,No_Sol_Found,3600,886.9014548999257
"[9, 2]",9,2,nan,No_Sol_Found,3600,1787.7033370002173
