Point,x,y,Objective,Status,Time,Global_Time
"[7, 1]",7,1,nan,Optimal,9.852999891154468,33.15395659999922
"[8, 1]",8,1,nan,Optimal,9.852999891154468,46.88196450006217
"[9, 1]",9,1,nan,Optimal,9.106999612413347,59.913710799999535
"[9, 2]",9,2,nan,Optimal,10.028000199235976,70.39477950008586
"[10, 1]",10,1,22973.105009392493,Optimal,6.219999957829714,80.3026225999929
"[10, 2]",10,2,22959.80972412789,Optimal,5.259999632835388,86.02646289998665
"[10, 3]",10,3,nan,Optimal,26.342000300064683,112.92158949980512
"[11, 1]",11,1,20881.937168456498,Optimal,3.6850000033155084,119.99669069983065
"[11, 2]",11,2,20392.219502380663,Optimal,4.158000228926539,124.63983559980989
"[11, 3]",11,3,20355.058458910233,Optimal,4.011999838985503,129.2410435997881
"[11, 4]",11,4,21360.45827245473,Optimal,5.4700002539902925,135.1565689998679
"[12, 1]",12,1,20515.88950112957,Optimal,4.667000309564173,143.12634840002283
"[12, 2]",12,2,19853.73216364106,Optimal,5.802000313997269,149.40667029982433
"[12, 3]",12,3,19449.85151206827,Optimal,5.001999624073505,154.87706650001928
"[12, 4]",12,4,19565.86054057377,Optimal,5.691999779082835,161.17774929990992
"[12, 5]",12,5,20916.392215877935,Optimal,4.2120000114664435,165.83195040002465
"[13, 1]",13,1,20837.08044753534,Optimal,5.4889997234568,174.27470189984888
"[13, 2]",13,2,20100.295901661244,Optimal,4.6629996271803975,179.44654909987003
"[13, 3]",13,3,19548.719264514162,Optimal,5.868999799713492,185.81645989976823
"[13, 4]",13,4,19346.12480121132,Optimal,2.9020003275945783,189.182003099937
"[13, 5]",13,5,19880.17762040429,Optimal,5.27400013525039,194.90792609984055
"[13, 6]",13,6,22283.019915317687,Optimal,4.999999911524355,200.41489630006254
"[14, 1]",14,1,21474.04368040022,Optimal,4.527000314556062,207.6924260999076
"[14, 2]",14,2,20701.29307573878,Optimal,6.189000327140093,214.54604799998924
"[14, 3]",14,3,20081.396825202755,Optimal,4.69699976965785,219.7406795998104
"[14, 4]",14,4,19740.34083221551,Optimal,4.97900010086596,225.19440850010142
"[14, 5]",14,5,19956.974872002123,Optimal,4.454999975860119,230.1379307997413
"[14, 6]",14,6,21453.28822883855,Optimal,4.246000153943896,234.8596634999849
"[14, 7]",14,7,nan,Optimal,10.079000098630786,245.39262149995193
"[15, 1]",15,1,22271.54892834072,Optimal,5.279999901540577,253.20355510013178
"[15, 2]",15,2,21480.40931610782,Optimal,6.805999972857535,260.5620736000128
"[15, 3]",15,3,20826.43257779399,Optimal,4.789000377058983,265.89744210010394
"[15, 4]",15,4,20418.812646933417,Optimal,4.43299999460578,270.8433467000723
"[15, 5]",15,5,20491.914161588953,Optimal,3.9669997058808804,275.32361959991977
"[15, 6]",15,6,21621.63243109228,Optimal,3.7890001432970166,279.8159003998153
"[15, 7]",15,7,nan,Optimal,11.223999923095107,291.5083662997931
"[15, 8]",15,8,nan,Optimal,10.30400013551116,302.251958000008
"[15, 9]",15,9,nan,Optimal,10.357999918051064,313.0537748001516
"[13, 4]",13,4,19346.12480121132,Final,2.97499957960099,317.8746708999388
