Point,x,y,Objective,Status,Time,Global_Time
"[7, 1]",7,1,nan,Optimal,3601.365000056103,3674.1943677002564
"[8, 1]",8,1,nan,Evaluated_Infeasible,284.8680000985041,3971.803634100128
"[9, 1]",9,1,nan,Optimal,3601.233000168577,7586.024112100247
"[9, 2]",9,2,nan,Optimal,3601.4009999111295,11189.509764399845
"[10, 1]",10,1,22973.103769012105,Optimal,3600.2809999510646,14802.072162100114
"[10, 2]",10,2,22959.804682408674,Optimal,3600.3469998948276,18404.37149249995
"[10, 3]",10,3,nan,Optimal,3601.242999988608,22007.61381349992
"[11, 1]",11,1,20881.93595834484,Optimal,3600.23000005167,25619.482669299934
"[11, 2]",11,2,20392.21950214611,Optimal,3600.2710001310334,29221.70519360015
"[11, 3]",11,3,20355.05845733091,Optimal,3600.3330000210553,32823.90023559984
"[11, 4]",11,4,21360.458261367985,Optimal,3600.4609998548403,36426.41737359995
"[12, 1]",12,1,20515.889493012404,Optimal,3600.3030005609617,40037.13055839995
"[12, 2]",12,2,19853.732162608896,Optimal,3600.2890000585467,43639.49714450026
"[12, 3]",12,3,19449.851035806918,Optimal,3600.2040000166744,47241.597089699935
"[12, 4]",12,4,19565.860543672825,Optimal,3600.234000105411,50843.77805369999
"[12, 5]",12,5,20916.392190546183,Optimal,3600.242000212893,54445.82648479985
"[13, 1]",13,1,20837.079610497654,Optimal,3600.228999881074,58057.89290759992
"[13, 2]",13,2,20100.294735074815,Optimal,3600.2160001778975,61660.12578930007
"[13, 3]",13,3,19548.71894193945,Optimal,3600.250999862328,65262.5885633002
"[13, 4]",13,4,19346.124799968497,Optimal,3600.300999591127,68864.75699729985
"[13, 5]",13,5,19880.17761728525,Optimal,3600.3849994624034,72467.61182679981
"[13, 6]",13,6,22283.537067928177,Optimal,3600.380000495352,76069.84023900004
"[14, 1]",14,1,21474.04367877388,Optimal,3600.453000376001,79679.65095670009
"[14, 2]",14,2,20701.293075028836,Optimal,3600.296999537386,83281.9647744
"[14, 3]",14,3,20081.3961429841,Optimal,3600.242999754846,86884.18143749982
"[14, 4]",14,4,19740.340832278693,Optimal,519.7399998782203,87405.87399740005
"[14, 5]",14,5,19956.974870223894,Optimal,3600.363999651745,91008.46307080006
"[14, 6]",14,6,21453.288226321794,Optimal,3600.2619998529553,94611.7106617
"[14, 7]",14,7,nan,Optimal,3600.886999606155,98214.63046449982
"[15, 1]",15,1,22271.54901416456,Optimal,2987.8739999374375,101211.34353600023
"[15, 2]",15,2,21480.408723290806,Optimal,3600.265000364743,104813.85846489994
"[15, 3]",15,3,20826.43261461417,Optimal,3600.1879998017102,108416.17731190007
"[15, 4]",15,4,20418.812281628387,Optimal,3600.1919998554513,112018.38819580013
"[15, 5]",15,5,20491.914161710767,Optimal,3570.0760000851005,115590.65816819994
"[15, 6]",15,6,21621.632426568583,Optimal,3600.166999991052,119193.06909599993
"[15, 7]",15,7,nan,Optimal,3600.771999475546,122796.10656790016
"[15, 8]",15,8,nan,Optimal,3600.816999608651,126399.08437089995
"[15, 9]",15,9,nan,Evaluated_Infeasible,67.76800020597875,126468.86756499996
"[13, 4]",13,4,19346.12479653569,Final,3600.2850000048056,130074.65392300021
