Point,x,y,Objective,Status,Time,Global_Time
"[7, 1]",7,1,nan,Evaluated_Infeasible,84.31700016371906,156.74651819979772
"[8, 1]",8,1,nan,Evaluated_Infeasible,84.30200011935085,253.79895059997216
"[9, 1]",9,1,nan,Evaluated_Infeasible,74.5330000994727,341.11880139959976
"[9, 2]",9,2,nan,Evaluated_Infeasible,82.36299999989569,425.2782212998718
"[10, 1]",10,1,22973.104917545774,Optimal,3.896999708376825,440.89354899991304
"[10, 2]",10,2,22959.805716815958,Optimal,3.3150003757327795,446.0226109996438
"[10, 3]",10,3,nan,Evaluated_Infeasible,65.30400041956455,513.1374881998636
"[11, 1]",11,1,20881.937058853888,Optimal,4.067999962717295,528.4041112996638
"[11, 2]",11,2,20392.219369776038,Optimal,6.77400017157197,537.093896499835
"[11, 3]",11,3,20355.05829067507,Optimal,5.717999814078212,544.6149834999815
"[11, 4]",11,4,21360.45802409493,Optimal,4.955999949015677,551.4023849996738
"[12, 1]",12,1,20515.88942480873,Optimal,4.541000188328326,566.3009524997324
"[12, 2]",12,2,19853.732078213616,Optimal,3.997999965213239,572.1192397996783
"[12, 3]",12,3,19449.850860592214,Optimal,5.175000219605863,579.1352629996836
"[12, 4]",12,4,nan,Evaluated_Infeasible,6.842999998480082,587.8377675996162
"[12, 5]",12,5,20916.39200748296,Optimal,7.132000266574323,596.8269024998881
"[13, 1]",13,1,nan,Evaluated_Infeasible,4.452000092715025,610.8992065000348
"[13, 2]",13,2,20100.29584033061,Optimal,4.4900002889335155,617.2258939999156
"[13, 3]",13,3,19548.719258942838,Optimal,5.148000014014542,624.214267199859
"[13, 4]",13,4,19346.124712059172,Optimal,6.549000134691596,632.6870980998501
"[13, 5]",13,5,19880.17749820929,Optimal,5.817999900318682,640.2962992996909
"[13, 6]",13,6,nan,Evaluated_Infeasible,4.944999958388507,647.0384080000222
"[14, 1]",14,1,21474.04365312342,Optimal,0.3160004736855626,656.448109799996
"[14, 2]",14,2,20701.29302483328,Optimal,5.857999809086323,664.200347899925
"[14, 3]",14,3,20081.396764682733,Optimal,10.496000200510025,676.6144042997621
"[14, 4]",14,4,19740.340760494913,Optimal,6.009000423364341,684.4482252998278
"[14, 5]",14,5,19956.97478465517,Optimal,5.1659999415278435,691.459953899961
"[14, 6]",14,6,21453.288101411643,Optimal,5.4730001371353865,698.749999599997
"[14, 7]",14,7,nan,Evaluated_Infeasible,75.46500004827976,776.0672585000284
"[15, 1]",15,1,22271.5489733809,Optimal,2.8769998345524073,787.1242962996475
"[15, 2]",15,2,21480.408680627144,Optimal,3.391000139527023,792.5079061998986
"[15, 3]",15,3,20826.432566370815,Optimal,2.826999477110803,797.3732863999903
"[15, 4]",15,4,20418.81269990108,Optimal,3.3489998895674944,802.7111736997031
"[15, 5]",15,5,20491.91415758503,Optimal,2.3380002938210964,807.0429809000343
"[15, 6]",15,6,21621.632332090143,Optimal,2.8970001032575965,811.9480557995848
"[15, 7]",15,7,nan,Evaluated_Infeasible,59.79799968190491,873.8060553995892
"[15, 8]",15,8,nan,Evaluated_Infeasible,63.605999923311174,939.4674046998844
"[15, 9]",15,9,nan,Evaluated_Infeasible,63.602000498212874,1005.2058434998617
"[13, 4]",13,4,19346.124800958663,Final,0.03900036681443453,1010.3057050998323
