Point,x,y,Objective,Status,Time,Global_Time
"[1, 1]",1,1,9.894736842100876,Optimal,0.063000060617924,1.6696456270292401
"[2, 1]",2,1,4.061881684499123,Optimal,0.056000123731792,29.322166485711932
"[2, 2]",2,2,4.061881684578844,Optimal,0.093000149354339,31.159519689157605
"[3, 1]",3,1,3.314845393549227,Optimal,0.048000016249716,57.449847023934126
"[3, 2]",3,2,3.314845384957142,Optimal,0.359000265598297,59.553363813087344
"[3, 3]",3,3,3.314845403072658,Optimal,0.054999953135848,61.339701330754906
"[4, 1]",4,1,3.1343370233592625,Optimal,0.048000016249716,86.60547494702041
"[4, 2]",4,2,3.134337023724247,Optimal,0.584999844431877,88.93029880383983
"[4, 3]",4,3,3.1343370249701232,Optimal,1.06500000692904,91.73699812591076
"[4, 4]",4,4,3.133783883076874,Optimal,0.05099989939481,93.84470378002152
"[5, 1]",5,1,3.130198124685666,Optimal,0.049999728798866,117.80812302185223
"[5, 2]",5,2,3.130198132667967,Optimal,0.311999791301787,119.8654991867952
"[5, 3]",5,3,3.1301981336000892,Optimal,0.344999763183296,122.26235298300162
"[5, 4]",5,4,3.130198133131302,Optimal,0.301999971270561,124.28768143383786
"[5, 5]",5,5,3.062014576618662,Optimal,0.05299961194396,126.07650104770437
"[6, 1]",6,1,3.200976594585383,Optimal,0.046000303700566,148.85699261771515
"[6, 2]",6,2,3.2009765945852893,Optimal,0.129000004380941,150.7033155928366
"[6, 3]",6,3,3.200976595834173,Optimal,0.450000073760748,152.85436456790194
"[6, 4]",6,4,3.200976594891797,Optimal,0.10399951133877,154.99927413277328
"[6, 5]",6,5,3.200976594602106,Optimal,0.072999880649149,156.78810903709382
"[6, 6]",6,6,3.0072779605716984,Optimal,0.038000196218491,158.8433690997772
"[7, 1]",7,1,3.287151356292295,Optimal,0.041999621316791,180.14133891975507
"[7, 2]",7,2,3.287151356292744,Optimal,0.086999754421413,181.95329321408644
"[7, 3]",7,3,3.287151356292739,Optimal,0.118000013753772,184.10804989887401
"[7, 4]",7,4,3.287151356229936,Optimal,0.343999592587352,186.17558991489932
"[7, 5]",7,5,3.287151356292269,Optimal,0.078999646939337,187.96934957569465
"[7, 6]",7,6,3.26943381860982,Optimal,0.080999988131225,190.07598977070302
"[7, 7]",7,7,2.9660470722888217,Optimal,0.048999558202922,191.82740481989458
"[8, 1]",8,1,3.3561752351302654,Optimal,0.048999558202922,212.05791334575042
"[8, 2]",8,2,3.3561752351298977,Optimal,0.122999609448016,213.89797303592786
"[8, 3]",8,3,3.3561752351303147,Optimal,0.069999997504056,215.68140457104892
"[8, 4]",8,4,3.356175235124315,Optimal,0.292999693192542,218.0062885461375
"[8, 5]",8,5,3.356175233962095,Optimal,0.085000041872263,219.80730325495824
"[8, 6]",8,6,3.3561752312676916,Optimal,0.101000256836414,221.92715961905196
"[8, 7]",8,7,3.262789845435719,Optimal,0.096000032499433,224.03702523792163
"[8, 8]",8,8,2.9344051030874754,Optimal,0.043000420555472,225.7877862676978
"[9, 1]",9,1,3.407928672212609,Optimal,0.052000069990754,245.05200335290283
"[9, 2]",9,2,9.894736842105196,Evaluated_Infeasible,0.406999653205276,247.1574864210561
"[9, 3]",9,3,3.4079286608900277,Optimal,0.355999753810465,249.5494467751123
"[9, 4]",9,4,3.407928672249212,Optimal,0.12200006749481,251.3808543938212
"[9, 5]",9,5,3.4079286722124005,Optimal,0.097999745048583,253.16247254097834
"[9, 6]",9,6,3.4079286751848175,Optimal,0.432000146247447,255.63012470910326
"[9, 7]",9,7,3.40057171219735,Optimal,0.119000184349716,257.4546885807067
"[9, 8]",9,8,3.2220388065233316,Optimal,0.425000209361315,259.5823348709382
"[9, 9]",9,9,2.909533261915013,Optimal,0.05099989939481,261.6788000650704
"[10, 1]",10,1,3.4479640316608258,Optimal,0.051000528037548,279.6424735947512
"[10, 2]",10,2,3.4479640202008133,Optimal,0.089000095613301,281.4522285000421
"[10, 3]",10,3,3.4479640315937385,Optimal,0.155000039376318,283.7025306979194
"[10, 4]",10,4,3.447964031660167,Optimal,0.090999808162451,285.52818114403635
"[10, 5]",10,5,3.447964032420178,Optimal,0.377000193111599,287.6304686460644
"[10, 6]",10,6,3.4479640316599482,Optimal,0.102000427432358,289.83851398481056
"[10, 7]",10,7,3.447964022319117,Optimal,0.366000202484429,291.92994831874967
"[10, 8]",10,8,3.3998301580773393,Optimal,0.085000041872263,294.05304857576266
"[10, 9]",10,9,3.177002358971234,Optimal,0.123000238090754,295.9179190527648
"[10, 10]",10,10,2.8895369686025134,Optimal,0.05299961194396,297.69905943097547
"[11, 1]",11,1,3.479901671047096,Optimal,0.068999826908112,314.67861094372347
"[11, 2]",11,2,3.479901669590105,Optimal,0.086999754421413,316.5100561231375
"[11, 3]",11,3,3.4799016724799334,Optimal,0.332000060006976,318.9002170697786
"[11, 4]",11,4,3.479901683418956,Optimal,0.502999685704708,321.14366055000573
"[11, 5]",11,5,3.4799016820827338,Optimal,0.363000319339335,323.56143131200224
"[11, 6]",11,6,3.4799016811168735,Optimal,0.086999754421413,325.3794317371212
"[11, 7]",11,7,3.4799016806918193,Optimal,0.096000032499433,327.2173160719685
"[11, 8]",11,8,3.4774899397842627,Optimal,0.482000503689051,329.7550844559446
"[11, 9]",11,9,3.371584573145737,Optimal,0.107999565079808,331.5982578061521
"[11, 10]",11,10,3.13592556136967,Optimal,0.138000282458961,333.47778955381364
"[11, 11]",11,11,2.8731402262669157,Optimal,0.045999675057828,335.57646032469347
"[12, 1]",12,1,3.5060040431768105,Optimal,0.057999836280942,351.13949819887057
"[12, 2]",12,2,3.5060040438460236,Optimal,0.123000238090754,353.00773078296334
"[12, 3]",12,3,3.506004043176343,Optimal,0.091999978758395,355.19845380680636
"[12, 4]",12,4,3.5060040430866573,Optimal,0.377999735064805,357.32316456502303
"[12, 5]",12,5,3.506004044380386,Optimal,0.406999653205276,359.46822009282187
"[12, 6]",12,6,9.894736842105196,Evaluated_Infeasible,0.419999985024333,361.99116302793846
"[12, 7]",12,7,3.5060040422601078,Optimal,0.159000093117356,363.8752805739641
"[12, 8]",12,8,3.5060040431763033,Optimal,0.12000035494566,366.04171310411766
"[12, 9]",12,9,3.4808370973371763,Optimal,0.071999710053205,367.8596102776937
"[12, 10]",12,10,3.3326396737882504,Optimal,0.137000111863017,369.7259175218642
"[12, 11]",12,11,3.1001497363151884,Optimal,0.12000035494566,371.9089966597967
"[12, 12]",12,12,2.8594656076335507,Optimal,0.061000348068774,373.7071660440415
"[13, 1]",13,1,3.52775383166308,Optimal,0.057000294327736,388.1556184301153
"[13, 2]",13,2,3.5277538316634325,Optimal,0.139999995008111,390.0409139688127
"[13, 3]",13,3,3.5277538367741346,Optimal,0.415999931283295,392.52994136791676
"[13, 4]",13,4,3.5277538310958394,Optimal,0.410000164993107,394.67791242012754
"[13, 5]",13,5,3.527753831249723,Optimal,0.832000491209328,397.24982571508735
"[13, 6]",13,6,3.5277538312513155,Optimal,0.49500020686537,399.81797812273726
"[13, 7]",13,7,3.527753833188078,Optimal,0.652999500744045,402.206035067793
"[13, 8]",13,8,3.5277538316629258,Optimal,0.091000436805189,404.02633339492604
"[13, 9]",13,9,3.5272915327548233,Optimal,0.110000534914434,406.2051279237494
"[13, 10]",13,10,3.4631046471486426,Optimal,0.153000326827168,408.09523679688573
"[13, 11]",13,11,3.2918755469848056,Optimal,0.361999520100653,410.17724802671
"[13, 12]",13,12,3.069295149307235,Optimal,0.097999745048583,412.32213641284034
"[13, 13]",13,13,2.847894632225011,Optimal,0.056999665684998,414.11728919902816
"[14, 1]",14,1,3.5461656127303707,Optimal,0.054999953135848,427.4065118059516
"[14, 2]",14,2,3.5461656101422077,Optimal,0.122999609448016,429.27654704498127
"[14, 3]",14,3,3.546165617659569,Optimal,0.540999881923199,431.916578988079
"[14, 4]",14,4,3.546165602377157,Optimal,0.537999998778105,434.18778371298686
"[14, 5]",14,5,3.546165611418173,Optimal,0.161000434309244,436.0746315116994
"[14, 6]",14,6,3.546165612378685,Optimal,0.489999982528389,438.6317921448499
"[14, 7]",14,7,3.5461656127311425,Optimal,0.133000058121979,440.4790946939029
"[14, 8]",14,8,3.546165612731439,Optimal,0.12200006749481,442.3447261718102
"[14, 9]",14,9,3.546165612730859,Optimal,0.095000490546227,444.5140373711474
"[14, 10]",14,10,3.533070514419026,Optimal,0.385000300593674,446.62768305372447
"[14, 11]",14,11,3.433629050897001,Optimal,0.097999745048583,448.8029289408587
"[14, 12]",14,12,3.253049832481272,Optimal,0.442999508231878,450.97870552400127
"[14, 13]",14,13,3.042641993346949,Optimal,0.129000004380941,452.83474228391424
"[14, 14]",14,14,2.837980681011682,Optimal,0.056000123731792,454.9768374590203
"[15, 1]",15,1,3.5619586245676818,Optimal,0.400999886915088,467.1385266040452
"[15, 2]",15,2,3.5619586220223605,Optimal,0.102999969385564,468.96951628802344
"[15, 3]",15,3,3.5619586217747057,Optimal,0.097000203095376,471.1650017350912
"[15, 4]",15,4,3.5619586331226074,Optimal,0.104999681934714,473.00014505395666
"[15, 5]",15,5,3.561958632764748,Optimal,0.155000039376318,474.88756559509784
"[15, 6]",15,6,3.5619586311896354,Optimal,0.144000048749149,477.1372496690601
"[15, 7]",15,7,3.5619586298140664,Optimal,0.164999859407544,479.02419700473547
"[15, 8]",15,8,3.5619586329964337,Optimal,0.196000118739903,481.2636431227438
"[15, 9]",15,9,3.561958633411869,Optimal,0.550000160001218,483.56193820014596
"[15, 10]",15,10,3.5619584858040425,Optimal,0.381000246852636,485.6654826030135
"[15, 11]",15,11,3.5225872318521456,Optimal,0.17100025434047,487.8919221009128
"[15, 12]",15,12,3.3990445820585196,Optimal,0.468000001274049,490.100833251141
"[15, 13]",15,13,3.2174521068613022,Optimal,0.146999931894243,491.9786854260601
"[15, 14]",15,14,3.0194912729219396,Optimal,0.407999823801219,494.43205133173615
"[15, 15]",15,15,2.829394063285803,Optimal,0.05800046492368,496.231245520059
"[16, 1]",16,1,3.575657834295096,Optimal,0.064999773167074,506.9851845987141
"[16, 2]",16,2,3.575657842989457,Optimal,0.167000200599432,508.8854520348832
"[16, 3]",16,3,3.5756578321726527,Optimal,0.247000018134713,511.1960917459801
"[16, 4]",16,4,3.575657842677374,Optimal,0.104000139981508,513.0548199028708
"[16, 5]",16,5,3.5756578426059735,Optimal,0.182000244967639,514.9737522490323
"[16, 6]",16,6,3.575657842737419,Optimal,0.400999886915088,517.4434731677175
"[16, 7]",16,7,3.5756578428308927,Optimal,0.391999608837068,519.5778272538446
"[16, 8]",16,8,3.575657842678525,Optimal,0.167000200599432,521.4799846140668
"[16, 9]",16,9,3.5756578451790513,Optimal,0.403000228106976,523.9460886470042
"[16, 10]",16,10,3.575657830089607,Optimal,0.551999872550368,526.2463324000128
"[16, 11]",16,11,3.5690809038926172,Optimal,0.190999894402921,528.1526123327203
"[16, 12]",16,12,3.5012944749934523,Optimal,0.130999716930091,530.3503415719606
"[16, 13]",16,13,3.363315461745981,Optimal,0.430999975651503,532.5242571150884
"[16, 14]",16,14,3.1853178013401724,Optimal,0.106000481173396,534.6777325337753
"[16, 15]",16,15,2.9992476654763816,Optimal,0.459000351838768,536.8615563060157
"[16, 16]",16,16,2.8218863978482474,Optimal,0.061000348068774,538.6601990559138
"[17, 1]",17,1,3.5876558131805587,Optimal,0.069999997504056,548.3150090561248
"[17, 2]",17,2,3.5876558021840443,Optimal,0.089000095613301,550.1537734158337
"[17, 3]",17,3,3.5876558025403518,Optimal,0.098999915644526,551.9832199010998
"[17, 4]",17,4,3.587655802045435,Optimal,0.509000080637634,554.553357725963
"[17, 5]",17,5,3.587655813013124,Optimal,0.10900036431849,556.395617060829
"[17, 6]",17,6,3.5876558132244907,Optimal,0.529000349342823,558.6386955259368
"[17, 7]",17,7,3.5876558132548073,Optimal,0.363999861292541,561.147972045932
"[17, 8]",17,8,3.5876558134808403,Optimal,0.337999826297164,563.2275423719548
"[17, 9]",17,9,3.5876558123723137,Optimal,0.16199997626245,565.4202791261487
"[17, 10]",17,10,3.587655813179734,Optimal,0.108000193722546,567.240802499
"[17, 11]",17,11,3.5876558119348867,Optimal,0.157999922521412,569.1252581491135
"[17, 12]",17,12,3.5634300959482714,Optimal,0.141000165604055,571.3128420910798
"[17, 13]",17,13,3.473733249300374,Optimal,0.090999808162451,573.118338118773
"[17, 14]",17,14,3.328537616807141,Optimal,0.45899972319603,575.307281780988
"[17, 15]",17,15,3.1564678095383236,Optimal,0.380999618209899,577.7280531078577
"[17, 16]",17,16,2.981424385906061,Optimal,0.093000149354339,579.5291987778619
"[17, 17]",17,17,2.815267337597803,Optimal,0.046999845653772,581.2845658129081
"[18, 1]",18,1,3.598252243577432,Optimal,0.049999728798866,589.3195555428974
"[18, 2]",18,2,3.598252232842655,Optimal,0.677999993786216,592.0914654028602
"[18, 3]",18,3,3.5982522421224283,Optimal,0.130999716930091,593.9417347237468
"[18, 4]",18,4,3.598252232988666,Optimal,0.463999947533011,596.4550471319817
"[18, 5]",18,5,3.5982522435776985,Optimal,0.091999978758395,598.2781775100157
"[18, 6]",18,6,3.5982522432263684,Optimal,0.154000497423112,600.1348203010857
"[18, 7]",18,7,3.5982522399451367,Optimal,0.145999761298299,602.3231076030061
"[18, 8]",18,8,3.5982522435584525,Optimal,0.10199979878962,604.1574210738763
"[18, 9]",18,9,3.598252243778586,Optimal,0.537999998778105,606.4001233647577
"[18, 10]",18,10,3.59825224352134,Optimal,0.422000326216221,608.8691080720164
"[18, 11]",18,11,3.5982522442927993,Optimal,0.469000171869993,611.0848051649518
"[18, 12]",18,12,3.595209281204506,Optimal,0.113000418059528,612.8944816370495
"[18, 13]",18,13,3.54837300098588,Optimal,0.341999880038202,615.2705467469059
"[18, 14]",18,14,3.4431888684219873,Optimal,0.11299978941679,617.1097679729573
"[18, 15]",18,15,3.2956949998782923,Optimal,0.086999754421413,618.899219090119
"[18, 16]",18,16,3.1305829302496586,Optimal,0.116000301204622,621.0254710707814
"[18, 17]",18,17,2.9656282127004934,Optimal,0.10199979878962,622.8620791090652
"[18, 18]",18,18,2.809388537633195,Optimal,0.052000069990754,624.9466440277174
"[19, 1]",19,1,3.6076800331014343,Optimal,0.144000048749149,632.0109916739166
"[19, 2]",19,2,3.6076800220383034,Optimal,0.33499994315207,634.5679089510813
"[19, 3]",19,3,3.607680022499371,Optimal,0.090000266209245,636.3645838419907
"[19, 4]",19,4,3.6076800293269025,Optimal,0.120999896898866,638.2028193017468
"[19, 5]",19,5,3.607680022229998,Optimal,0.376000022515655,640.7194663360715
"[19, 6]",19,6,3.6076800327838856,Optimal,0.139999995008111,642.576693941839
"[19, 7]",19,7,3.6076800319420914,Optimal,0.205999938771129,644.4967906139791
"[19, 8]",19,8,3.6076800204995036,Optimal,0.12399978004396,646.7669387650676
"[19, 9]",19,9,3.6076800266620515,Optimal,0.157999922521412,648.6347488570027
"[19, 10]",19,10,3.607680032846494,Optimal,0.554000213742256,650.8972977679223
"[19, 11]",19,11,3.6076800331017997,Optimal,0.129000004380941,653.1142990747467
"[19, 12]",19,12,3.6076800194551373,Optimal,0.17299996688962,655.0200256579556
"[19, 13]",19,13,3.592792106835842,Optimal,0.106000481173396,656.8641930208541
"[19, 14]",19,14,3.5269874547970947,Optimal,0.118000013753772,659.0857144808397
"[19, 15]",19,15,3.4118081724423837,Optimal,0.524000125005841,661.3424587827176
"[19, 16]",19,16,3.2651636396230237,Optimal,0.107000023126602,663.1809336510487
"[19, 17]",19,17,3.1073181605214226,Optimal,0.112000247463584,665.3901821770705
"[19, 18]",19,18,2.951541879423934,Optimal,0.532000232487917,667.6496516489424
"[19, 19]",19,19,2.8041328263878182,Optimal,0.063000060617924,669.4349857647903
"[20, 1]",20,1,3.616122993190924,Optimal,0.060999719426036,675.3728106790222
"[20, 2]",20,2,3.6161230101724056,Optimal,0.194999948143959,677.3237712788396
"[20, 3]",20,3,3.616122981981413,Optimal,0.12399978004396,679.1933724880219
"[20, 4]",20,4,3.616122982883179,Optimal,0.454000127501786,681.7363807270303
"[20, 5]",20,5,3.6161229924304337,Optimal,0.510000251233578,683.9934858568013
"[20, 6]",20,6,3.6161229931433607,Optimal,0.427000550553203,686.1595177380368
"[20, 7]",20,7,3.616122993302669,Optimal,0.134999770671129,688.4017733801156
"[20, 8]",20,8,3.6161229934237706,Optimal,0.429000263102353,690.5748665048741
"[20, 9]",20,9,3.6161229934292005,Optimal,0.558000267483294,692.8624426270835
"[20, 10]",20,10,3.616122992924347,Optimal,0.164999859407544,695.1528478497639
"[20, 11]",20,11,3.6161229934426418,Optimal,0.115999672561884,697.0160388587974
"[20, 12]",20,12,3.6161229931908907,Optimal,0.163000146858394,698.9023322300054
"[20, 13]",20,13,3.614936083237788,Optimal,0.114000588655472,701.13604158815
"[20, 14]",20,14,3.5823294607101492,Optimal,0.113999960012734,702.9803931387141
"[20, 15]",20,15,3.501778763030692,Optimal,0.531999603845179,705.2343707778491
"[20, 16]",20,16,3.380886819588668,Optimal,0.108999735675752,707.4552657618187
"[20, 17]",20,17,3.237005196895574,Optimal,0.097000203095376,709.2786220088601
"[20, 18]",20,18,3.0863479398634306,Optimal,0.432000146247447,711.432356653735
"[20, 19]",20,19,2.9389082756162503,Optimal,0.12200006749481,713.6494271447882
"[20, 20]",20,20,2.799406425107769,Optimal,0.046999845653772,715.4279577997513
"[21, 1]",21,1,3.6237281741886003,Optimal,0.188000011257827,719.9816867900081
"[21, 2]",21,2,3.6237281718733154,Optimal,0.443000136874616,722.1769780260511
"[21, 3]",21,3,3.6237281716811727,Optimal,0.487999641336501,724.768308811821
"[21, 4]",21,4,3.6237281725293014,Optimal,0.133000058121979,726.6519924839959
"[21, 5]",21,5,3.6237281825282657,Optimal,0.229000090621412,728.6142418137752
"[21, 6]",21,6,3.623728182458724,Optimal,0.12000035494566,730.8240050547756
"[21, 7]",21,7,3.623728182589735,Optimal,0.136000569909811,732.7104825288989
"[21, 8]",21,8,3.623728182720672,Optimal,0.695000379346311,735.1470174179412
"[21, 9]",21,9,3.623728182908678,Optimal,0.137999653816223,737.3670268808492
"[21, 10]",21,10,3.6237281827310173,Optimal,0.199000001884997,739.301755709108
"[21, 11]",21,11,3.6237281825181604,Optimal,0.166000030003488,741.2014546641149
"[21, 12]",21,12,3.623728175385751,Optimal,0.550999701954424,743.8279584296979
"[21, 13]",21,13,3.623728173062382,Optimal,0.153000326827168,745.7141185868531
"[21, 14]",21,14,3.6147099725506706,Optimal,0.119999726302922,747.561503410805
"[21, 15]",21,15,3.5659403322724756,Optimal,0.177000020630658,749.8173081399873
"[21, 16]",21,16,3.474615111417655,Optimal,0.11499950196594,751.6624459670857
"[21, 17]",21,17,3.351148471777215,Optimal,0.540999881923199,754.2887452319264
"[21, 18]",21,18,3.211127933529916,Optimal,0.127999833784997,756.1476206369698
"[21, 19]",21,19,3.0673815352933196,Optimal,0.23300014436245,758.1175660127774
"[21, 20]",21,20,2.9275177639397514,Optimal,0.177000020630658,760.3957818048075
"[21, 21]",21,21,2.7951334164081025,Optimal,0.065999943763018,762.1841807090677
"[22, 1]",22,1,3.6306146872453224,Optimal,0.130999716930091,765.6013661767356
"[22, 2]",22,2,3.6306146872458567,Optimal,0.185000128112733,767.5276605668478
"[22, 3]",22,3,3.6306146872448677,Optimal,0.27100034058094,769.5438227457926
"[22, 4]",22,4,3.6306146872451373,Optimal,0.216999929398298,771.8802168830298
"[22, 5]",22,5,3.6306146874353997,Optimal,0.676999823190272,774.29324927181
"[22, 6]",22,6,3.6306146863156137,Optimal,0.27300005313009,776.2977128219791
"[22, 7]",22,7,3.6306146874406804,Optimal,0.346999475732446,778.7703239340335
"[22, 8]",22,8,3.6306146754050435,Optimal,0.117999385111034,780.6262988629751
"[22, 9]",22,9,3.630614675299269,Optimal,0.171999796293676,782.5379041749984
"[22, 10]",22,10,3.6306146750361155,Optimal,0.170999625697732,784.8359315991402
"[22, 11]",22,11,3.6306146747417785,Optimal,0.22200015373528,786.7862703548744
"[22, 12]",22,12,3.630614674901866,Optimal,0.188000011257827,788.7202907977626
"[22, 13]",22,13,3.63061468724534,Optimal,0.17299996688962,791.0233761030249
"[22, 14]",22,14,3.630306685029732,Optimal,0.3239999525249,793.0763834449463
"[22, 15]",22,15,3.607617713555473,Optimal,0.170000083744526,794.9869125029072
"[22, 16]",22,16,3.545487644108346,Optimal,0.944000110030174,798.0431322827935
"[22, 17]",22,17,3.446798258231629,Optimal,0.253000413067639,800.0293725887313
"[22, 18]",22,18,3.3229564207001276,Optimal,0.189999723806977,801.9496892099269
"[22, 19]",22,19,3.187372316520179,Optimal,0.155000039376318,804.2062497250736
"[22, 20]",22,20,3.050165761269692,Optimal,0.20900045055896,806.1474978500046
"[22, 21]",22,21,2.9171982077116683,Optimal,0.710000423714519,808.5758112589829
"[22, 22]",22,22,2.7912516873898285,Optimal,0.164000317454338,810.8229882908054
"[22, 22]",22,22,2.7912516873898285,Final,0.168999913148582,812.7066609640606
