Point,x,y,Objective,Status,Time,Global_Time
"[1, 1]",1,1,9.894736842105209,Optimal,0.03500031307339668,0.5006252997554839
"[2, 1]",2,1,4.061881684190526,Optimal,0.03299997188150883,8.49313069973141
"[2, 2]",2,2,4.061881700051258,Optimal,0.03299997188150883,8.936491499654949
"[3, 1]",3,1,3.3148453556941186,Optimal,0.03500031307339668,16.42432909971103
"[3, 2]",3,2,30.0,Evaluated_Infeasible,0.06799965631216764,16.90083079971373
"[3, 3]",3,3,29.9999300034902,Evaluated_Infeasible,7.7170001110062,25.032086099963635
"[4, 1]",4,1,3.1343370389303713,Optimal,0.035999855026602745,31.805729299783707
"[4, 2]",4,2,40.0,Evaluated_Infeasible,0.053000240586698055,32.26937869982794
"[4, 3]",4,3,40.0,Evaluated_Infeasible,0.046999845653772354,32.754371399991214
"[4, 4]",4,4,3.1337838977756025,Optimal,0.035999855026602745,33.19691749988124
"[5, 1]",5,1,3.130198163522971,Optimal,0.035999855026602745,40.21193059999496
"[5, 2]",5,2,50.0,Evaluated_Infeasible,0.17900036182254553,40.7936920998618
"[5, 3]",5,3,3.130198133059665,Optimal,0.037999567575752735,41.24311969988048
"[5, 4]",5,4,50.0,Evaluated_Infeasible,4.3530001770704985,46.006061299704015
"[5, 5]",5,5,3.0620145766194384,Optimal,0.03500031307339668,46.44834190001711
"[6, 1]",6,1,3.2009765945820083,Optimal,0.03499968443065882,53.20661719981581
"[6, 2]",6,2,3.2009766011396596,Optimal,0.04800001624971628,53.6631076997146
"[6, 3]",6,3,32.3067186693794,Evaluated_Infeasible,6.578000052832067,60.66324989963323
"[6, 4]",6,4,3.2009765938212005,Optimal,0.053000240586698055,61.158423599787056
"[6, 5]",6,5,3.200976597458216,Optimal,0.04100007936358452,61.64338699961081
"[6, 6]",6,6,3.0072779742529225,Optimal,0.10999990627169609,62.20202019996941
"[7, 1]",7,1,3.2871513652074675,Optimal,0.04100007936358452,68.09573209984228
"[7, 2]",7,2,3.2871512584308293,Optimal,0.045000133104622364,68.55377639969811
"[7, 3]",7,3,3.287151279103252,Optimal,0.05600012373179197,69.01417669979855
"[7, 4]",7,4,3.287151364281279,Optimal,0.04800001624971628,69.46319139981642
"[7, 5]",7,5,3.287151375891141,Optimal,0.05399978253990412,69.92066699964926
"[7, 6]",7,6,3.269433620265818,Optimal,0.03900036681443453,70.36831769999117
"[7, 7]",7,7,2.9660470700149997,Optimal,0.04299979191273451,70.82067639986053
"[8, 1]",8,1,3.3561752351276155,Optimal,0.03499968443065882,76.94987039966509
"[8, 2]",8,2,3.3561753050899013,Optimal,0.05799983628094196,77.44281419971958
"[8, 3]",8,3,3.35617523675188,Optimal,0.0509998993948102,77.92403549980372
"[8, 4]",8,4,3.356175235908967,Optimal,0.05600012373179197,78.40263130003586
"[8, 5]",8,5,3.3561752369333964,Optimal,0.043999962508678436,78.86364550003782
"[8, 6]",8,6,3.3561752308301225,Optimal,0.03999990876764059,79.3170562996529
"[8, 7]",8,7,3.262789842429542,Optimal,0.03700002562254667,79.7632717997767
"[8, 8]",8,8,2.9344051030829026,Optimal,0.03700002562254667,80.21009849989787
"[9, 1]",9,1,3.407928672212952,Optimal,0.054999953135848045,85.5632985997945
"[9, 2]",9,2,3.4079286722712174,Optimal,0.053000240586698055,86.59308019978926
"[9, 3]",9,3,3.4079287236348708,Optimal,0.054999953135848045,87.05717039993033
"[9, 4]",9,4,3.407928672582967,Optimal,0.054999953135848045,87.54322290001437
"[9, 5]",9,5,3.4079286979652283,Optimal,0.046999845653772354,88.00975599978119
"[9, 6]",9,6,3.407927578425111,Optimal,0.053000240586698055,88.47717979969457
"[9, 7]",9,7,3.400571706561908,Optimal,0.0380001962184906,88.91392909968272
"[9, 8]",9,8,3.2220385611342657,Optimal,0.07800010498613119,89.40368659980595
"[9, 9]",9,9,2.909533261553623,Optimal,0.0380001962184906,89.8566949996166
"[10, 1]",10,1,3.4479640317616687,Optimal,0.04299979191273451,94.97580350004137
"[10, 2]",10,2,3.4479640334859436,Optimal,0.05200006999075413,95.44394569983706
"[10, 3]",10,3,3.447964132169799,Optimal,0.04700047429651022,95.9052120000124
"[10, 4]",10,4,3.4479640320569165,Optimal,0.0449995044618845,96.37968619959429
"[10, 5]",10,5,3.447964027999742,Optimal,0.045000133104622364,96.84052449977025
"[10, 6]",10,6,3.447964149267616,Optimal,0.043999962508678436,97.31354939984158
"[10, 7]",10,7,3.4479640576681807,Optimal,0.27300005313009024,98.02902300003916
"[10, 8]",10,8,3.399830158075604,Optimal,0.03899973817169666,98.48700009984896
"[10, 9]",10,9,3.177002360087934,Optimal,0.05999954883009195,98.95451959967613
"[10, 10]",10,10,2.8895369653781726,Optimal,0.045000133104622364,99.40660719992593
"[11, 1]",11,1,3.479901679066017,Optimal,0.05200006999075413,104.73904359992594
"[11, 2]",11,2,3.479901744209073,Optimal,0.03900036681443453,105.19525959994644
"[11, 3]",11,3,3.4799017938106416,Optimal,0.09000026620924473,105.70366809982806
"[11, 4]",11,4,3.4799016810060457,Optimal,0.03999990876764059,106.16736549977213
"[11, 5]",11,5,3.4799014857962023,Optimal,0.05600012373179197,106.64297729963437
"[11, 6]",11,6,3.4799004502972917,Optimal,0.07299988064914942,107.1328488998115
"[11, 7]",11,7,3.4799018069929977,Optimal,0.08999963756650686,107.67085029976442
"[11, 8]",11,8,3.47748995360473,Optimal,0.046999845653772354,108.13316959980875
"[11, 9]",11,9,3.371584588074352,Optimal,0.07599976379424334,108.6316100996919
"[11, 10]",11,10,3.1359255607813883,Optimal,0.06599994376301765,109.1125551997684
"[11, 11]",11,11,2.8731402262391583,Optimal,0.03700002562254667,109.56439229985699
"[12, 1]",12,1,3.5060040422421848,Optimal,0.03899973817169666,114.08287649974227
"[12, 2]",12,2,3.5060040431944732,Optimal,0.053000240586698055,114.55748389987275
"[12, 3]",12,3,3.506001052962446,Optimal,0.062000518664717674,115.03810179978609
"[12, 4]",12,4,3.50600417651544,Optimal,0.046999845653772354,115.50022059958428
"[12, 5]",12,5,3.5060046358130834,Optimal,0.1549994107335806,116.07000719988719
"[12, 6]",12,6,3.506004043063781,Optimal,0.046999845653772354,116.53346539987251
"[12, 7]",12,7,3.5060035885989405,Optimal,0.05900000687688589,117.00352239981294
"[12, 8]",12,8,3.5060040428823345,Optimal,0.045000133104622364,117.47705679992214
"[12, 9]",12,9,3.480836248832982,Optimal,0.09199997875839472,117.99772079987451
"[12, 10]",12,10,3.3326396737528583,Optimal,0.04199962131679058,118.45211159996688
"[12, 11]",12,11,3.100149666906577,Optimal,0.0380001962184906,118.90222289972007
"[12, 12]",12,12,2.859465595002608,Optimal,0.03499968443065882,119.34674659976736
"[13, 1]",13,1,3.527753831649913,Optimal,0.03899973817169666,124.1940143997781
"[13, 2]",13,2,3.5277538360008247,Optimal,0.04700047429651022,124.66431959997863
"[13, 3]",13,3,3.5277538343524077,Optimal,0.06800028495490551,125.16192459966987
"[13, 4]",13,4,3.5277539339548514,Optimal,0.06000017747282982,125.64718089997768
"[13, 5]",13,5,3.5277537104634478,Optimal,0.07400005124509335,126.14411789970472
"[13, 6]",13,6,3.5277539152214805,Optimal,1.091999583877623,127.65376779995859
"[13, 7]",13,7,3.5277537789511433,Optimal,0.04999972879886627,128.12569539994
"[13, 8]",13,8,3.527753858839174,Optimal,0.05000035744160414,128.59717649966478
"[13, 9]",13,9,3.5272916128704708,Optimal,0.06799965631216764,129.08491509966552
"[13, 10]",13,10,3.4631046472841645,Optimal,0.03700002562254667,129.536006399896
"[13, 11]",13,11,3.2918755612768456,Optimal,0.14699993189424276,130.10622659977525
"[13, 12]",13,12,3.0692948887541687,Optimal,0.040000537410378456,130.56058029970154
"[13, 13]",13,13,2.847894628225987,Optimal,0.043000420555472374,131.01731669995934
"[14, 1]",14,1,3.5461656127309396,Optimal,0.04700047429651022,134.96245179977268
"[14, 2]",14,2,3.5461656331862024,Optimal,0.0509998993948102,135.43105589970946
"[14, 3]",14,3,3.5461656129222505,Optimal,0.06000017747282982,135.9086760999635
"[14, 4]",14,4,3.5461657129811424,Optimal,0.07599976379424334,136.39890579972416
"[14, 5]",14,5,3.5461658995975096,Optimal,0.06700011435896158,136.88307549990714
"[14, 6]",14,6,3.54616573054585,Optimal,0.06899982690811157,137.36855079978704
"[14, 7]",14,7,3.5461657305452894,Optimal,0.07699993439018726,137.88956349994987
"[14, 8]",14,8,3.546165612846291,Optimal,0.043999962508678436,138.35337659996003
"[14, 9]",14,9,3.5461656129182177,Optimal,0.07599976379424334,138.84814719995484
"[14, 10]",14,10,3.533070478723891,Optimal,0.09300014935433865,140.0121789998375
"[14, 11]",14,11,3.433628857630036,Optimal,0.037999567575752735,140.47022499982268
"[14, 12]",14,12,3.2530496343462945,Optimal,0.042000249959528446,140.92389860004187
"[14, 13]",14,13,3.0426419926939046,Optimal,0.04999972879886627,141.39145939983428
"[14, 14]",14,14,2.8379806927609668,Optimal,0.043999962508678436,141.84650049963966
"[15, 1]",15,1,3.5619586038791384,Optimal,0.045999675057828426,145.51940749958158
"[15, 2]",15,2,3.561958817899844,Optimal,0.045000133104622364,145.98540759971365
"[15, 3]",15,3,3.5619586961868217,Optimal,0.06499977316707373,146.47949909977615
"[15, 4]",15,4,3.5619586333157023,Optimal,0.04299979191273451,146.93956019962206
"[15, 5]",15,5,3.561958651285379,Optimal,0.04700047429651022,147.4171223999001
"[15, 6]",15,6,3.5619923667530333,Optimal,0.1080001937225461,147.96791479969397
"[15, 7]",15,7,3.5619586355718,Optimal,0.054999953135848045,148.4421897996217
"[15, 8]",15,8,3.561958773095248,Optimal,0.08099998813122511,148.93365009967238
"[15, 9]",15,9,3.5619586345045455,Optimal,0.0449995044618845,149.3984748995863
"[15, 10]",15,10,3.561958488411236,Optimal,0.0829997006803751,149.89609039993957
"[15, 11]",15,11,3.5225872318465905,Optimal,0.08300032932311296,150.39604899985716
"[15, 12]",15,12,3.399044329539645,Optimal,0.2499999012798071,151.06142919976264
"[15, 13]",15,13,3.2174520993204596,Optimal,0.037999567575752735,151.5282147997059
"[15, 14]",15,14,3.019491280601059,Optimal,0.0380001962184906,151.98113019997254
"[15, 15]",15,15,2.829393865359049,Optimal,0.03500031307339668,152.43763449974358
"[16, 1]",16,1,3.575657842678018,Optimal,0.0509998993948102,155.82700359961018
"[16, 2]",16,2,3.5756578407743174,Optimal,0.03999990876764059,156.29570119967684
"[16, 3]",16,3,3.575657961207536,Optimal,0.04900018684566021,156.7659343997948
"[16, 4]",16,4,3.5756578504337444,Optimal,0.05799983628094196,157.25026139989495
"[16, 5]",16,5,3.5756577450263594,Optimal,0.04900018684566021,157.74781739991158
"[16, 6]",16,6,3.575634769377919,Optimal,0.04800001624971628,158.2173760998994
"[16, 7]",16,7,3.5756578929576848,Optimal,0.0829997006803751,158.71849229978397
"[16, 8]",16,8,3.575663205208441,Optimal,0.054999953135848045,159.19517419999465
"[16, 9]",16,9,3.5756497436201036,Optimal,0.14300050679594278,159.77892819978297
"[16, 10]",16,10,3.5756578428578862,Optimal,0.07199971005320549,160.27346459962428
"[16, 11]",16,11,3.5690809029951938,Optimal,0.04299979191273451,161.42992869997397
"[16, 12]",16,12,3.5012944751491344,Optimal,0.04100007936358452,161.89101489959285
"[16, 13]",16,13,3.3633153764799384,Optimal,0.043999962508678436,162.35297559993342
"[16, 14]",16,14,3.1853037272186024,Optimal,0.045999675057828426,162.8413463998586
"[16, 15]",16,15,2.9992476316374908,Optimal,0.045000133104622364,163.3011991996318
"[16, 16]",16,16,2.821886409669,Optimal,0.03899973817169666,163.7633480997756
"[17, 1]",17,1,3.5876558027039556,Optimal,0.0509998993948102,166.81769809965044
"[17, 2]",17,2,3.587655893374008,Optimal,0.0699999975040555,167.31784039968625
"[17, 3]",17,3,3.587655801174909,Optimal,0.0509998993948102,167.82846799958497
"[17, 4]",17,4,3.5876556675247264,Optimal,0.04900018684566021,168.30472069978714
"[17, 5]",17,5,3.5876558079949645,Optimal,0.046999845653772354,168.78259129961953
"[17, 6]",17,6,3.5876558909353617,Optimal,0.0509998993948102,169.25694429967552
"[17, 7]",17,7,3.5876558939297882,Optimal,0.056999665684998035,169.7368336999789
"[17, 8]",17,8,3.5876562730341486,Optimal,0.24899973068386316,170.41137379966676
"[17, 9]",17,9,3.587655812957029,Optimal,0.04199962131679058,170.87471209978685
"[17, 10]",17,10,3.5876557976496244,Optimal,0.04100007936358452,171.3406360996887
"[17, 11]",17,11,3.5876699505097944,Optimal,0.08199953008443117,171.84057569969445
"[17, 12]",17,12,3.563430084939914,Optimal,0.09099980816245079,172.35271229967475
"[17, 13]",17,13,3.47373325973347,Optimal,0.04199962131679058,172.84246049961075
"[17, 14]",17,14,3.328534512235307,Optimal,0.054999953135848045,173.31694939965382
"[17, 15]",17,15,3.1564678226412406,Optimal,0.045000133104622364,173.78414869960397
"[17, 16]",17,16,2.9814243512990517,Optimal,0.0440005911514163,174.24315849971026
"[17, 17]",17,17,2.815267336638496,Optimal,0.0380001962184906,174.6932950997725
"[18, 1]",18,1,3.5982522436217814,Optimal,0.04600030370056629,177.4513456998393
"[18, 2]",18,2,3.5982522243036303,Optimal,0.03999990876764059,177.9364703996107
"[18, 3]",18,3,3.598252243437318,Optimal,0.05600012373179197,178.41607679985464
"[18, 4]",18,4,3.5982522242974526,Optimal,0.05000035744160414,178.89603800000623
"[18, 5]",18,5,3.5982522453947055,Optimal,0.07199971005320549,179.3906333995983
"[18, 6]",18,6,3.598252243001602,Optimal,0.05399978253990412,179.8673735000193
"[18, 7]",18,7,3.598252351187033,Optimal,0.06899982690811157,180.354305899702
"[18, 8]",18,8,3.598252244731714,Optimal,0.045000133104622364,180.83237029984593
"[18, 9]",18,9,3.5982524442214063,Optimal,0.14899964444339275,181.41014839988202
"[18, 10]",18,10,3.5982522166103954,Optimal,0.054999953135848045,181.8893408998847
"[18, 11]",18,11,3.5982529967015346,Optimal,0.06899982690811157,182.38436609972268
"[18, 12]",18,12,3.5952092957470794,Optimal,0.08600021246820688,182.92182229971513
"[18, 13]",18,13,3.548373016378884,Optimal,0.05399978253990412,184.11021199962124
"[18, 14]",18,14,3.4431888838080877,Optimal,0.08600021246820688,184.6155652999878
"[18, 15]",18,15,3.2956949716423303,Optimal,0.045999675057828426,185.081476399675
"[18, 16]",18,16,3.1305829392995497,Optimal,0.043999962508678436,185.54213309986517
"[18, 17]",18,17,2.9656282251551254,Optimal,0.04100007936358452,186.0005189999938
"[18, 18]",18,18,2.8093885376328416,Optimal,0.03900036681443453,186.46214289963245
"[19, 1]",19,1,3.6076800242780434,Optimal,0.04800001624971628,188.96499439980835
"[19, 2]",19,2,3.607680028781946,Optimal,0.03900036681443453,189.43250199966133
"[19, 3]",19,3,3.607680033385983,Optimal,0.05600012373179197,189.9181316997856
"[19, 4]",19,4,3.60767998249095,Optimal,0.04299979191273451,190.39064610004425
"[19, 5]",19,5,3.60767997752724,Optimal,0.07800010498613119,190.90255289990455
"[19, 6]",19,6,3.6076799728929503,Optimal,0.05799983628094196,191.38777989987284
"[19, 7]",19,7,3.6076859485674966,Optimal,0.08799992501735687,191.90677029965445
"[19, 8]",19,8,3.607679721224792,Optimal,0.06000017747282982,192.39794639963657
"[19, 9]",19,9,3.607680034528299,Optimal,0.046999845653772354,192.8950105998665
"[19, 10]",19,10,3.6076800334724863,Optimal,0.04800001624971628,193.3684903997928
"[19, 11]",19,11,3.6076832968728545,Optimal,0.05400041118264198,193.84636169997975
"[19, 12]",19,12,3.6076800330623557,Optimal,0.05200006999075413,194.3223619000055
