Point,x,y,Objective,Status,Time,Global_Time
"[1, 1]",1,1,9.89473684210516,Optimal,0.045999675057828426,1.9372175000607967
"[2, 1]",2,1,4.061881646939327,Optimal,0.05800046492367983,37.831920499913394
"[2, 2]",2,2,4.061881684530918,Optimal,0.08600021246820688,39.94988160021603
"[3, 1]",3,1,nan,Evaluated_Infeasible,6.8719999166205525,81.00592749984935
"[3, 2]",3,2,3.3148454048998905,Optimal,0.5940001225098968,84.2858588998206
"[3, 3]",3,3,3.3148454030724066,Optimal,0.10399951133877039,86.44482020009309
"[4, 1]",4,1,3.134337036262383,Optimal,0.045999675057828426,118.85176149988547
"[4, 2]",4,2,3.1343370364528784,Optimal,0.46699983067810535,122.05277050007135
"[4, 3]",4,3,3.134337036452878,Optimal,0.09099980816245079,124.21429040003568
"[4, 4]",4,4,3.133783898142004,Optimal,0.25999972131103277,126.50858529983088
"[5, 1]",5,1,3.1301981330254716,Optimal,0.6380000850185752,158.63822619989514
"[5, 2]",5,2,3.1301981342457714,Optimal,0.6289998069405556,161.38784540025517
"[5, 3]",5,3,3.13019813386489,Optimal,0.558000267483294,164.74283650005236
"[5, 4]",5,4,3.1301981348258217,Optimal,0.9579999838024378,167.75224990025163
"[5, 5]",5,5,3.0620145766185285,Optimal,0.5839996738359332,170.35979579994455
"[6, 1]",6,1,3.2009765945854904,Optimal,0.5980001762509346,201.1333538000472
"[6, 2]",6,2,3.2009765957015435,Optimal,0.6020002299919724,204.57930570002645
"[6, 3]",6,3,3.2009765953629508,Optimal,0.6139997625723481,207.2143443999812
"[6, 4]",6,4,3.200976595730949,Optimal,0.671000056900084,209.9470763998106
"[6, 5]",6,5,3.200976598863865,Optimal,0.7780000800266862,213.54804080026224
"[6, 6]",6,6,3.0072779743003815,Optimal,0.6380000850185752,216.22073329985142
"[7, 1]",7,1,3.287151356292505,Optimal,0.896000093780458,245.2263474999927
"[7, 2]",7,2,3.2871513574378657,Optimal,0.5990003468468785,248.7251412998885
"[7, 3]",7,3,3.2871513571405533,Optimal,0.5699998000636697,251.34383120015264
"[7, 4]",7,4,3.2871513573737317,Optimal,0.5790000781416893,253.95533830020577
"[7, 5]",7,5,3.287151358399635,Optimal,0.6329998606815934,256.61641080025584
"[7, 6]",7,6,3.2694338315340556,Optimal,0.5880003562197089,260.0709212999791
"[7, 7]",7,7,2.966047072289011,Optimal,0.6320003187283874,262.75174259999767
"[8, 1]",8,1,3.3561752351303684,Optimal,0.7190000731498003,290.91310560004786
"[8, 2]",8,2,3.3561752363441326,Optimal,0.698000262491405,293.6307076998055
"[8, 3]",8,3,3.35617523609784,Optimal,0.640000426210463,296.2862272001803
"[8, 4]",8,4,3.356175236292273,Optimal,0.7169997319579124,299.9376925001852
"[8, 5]",8,5,3.3561752368303983,Optimal,0.7520000450313091,302.77764039998874
"[8, 6]",8,6,3.3561752407631746,Optimal,0.6979996338486671,305.4948869999498
"[8, 7]",8,7,3.26278984543596,Optimal,0.6209996994584799,308.1745939999819
"[8, 8]",8,8,2.934405103087378,Optimal,0.6309995194897056,311.71141629992053
"[9, 1]",9,1,3.40792867221292,Optimal,0.6600000662729144,337.89981329999864
"[9, 2]",9,2,3.4079286722131146,Optimal,0.6699998863041401,341.43695989996195
"[9, 3]",9,3,3.407928673292447,Optimal,0.6279996363446116,344.0414209002629
"[9, 4]",9,4,3.4079286734760643,Optimal,0.7809999631717801,346.8128871000372
"[9, 5]",9,5,3.407928673815758,Optimal,0.7339994888752699,349.50015750015154
