Point,x,y,Objective,Status,Time,Global_Time
"[1, 1]",1,1,9.884850983087803,Optimal,9.85400006175041,12.59515587799251
"[2, 1]",2,1,4.06188168453056,Optimal,8.973000012338161,83.04433691781014
"[2, 2]",2,2,4.06188168453072,Optimal,7.320999819785359,93.31000714376569
"[3, 1]",3,1,3.314830489499279,Optimal,28.37699982337653,180.87205118359998
"[3, 2]",3,2,3.3148454030556715,Optimal,13.67900006007403,197.55343332979828
"[3, 3]",3,3,3.3148454030698558,Optimal,15.28099989518523,215.8046196717769
"[4, 1]",4,1,3.134335267027324,Optimal,39.79600032325835,314.06022633379325
"[4, 2]",4,2,3.134337036385364,Optimal,12.81300005502999,329.8782037636265
"[4, 3]",4,3,3.13433703645272,Optimal,15.99599991459399,348.85515579674393
"[4, 4]",4,4,3.133783635977872,Optimal,25.71500020567328,377.5276436037384
"[5, 1]",5,1,3.13019805594478,Optimal,57.24300008732826,491.31976512260735
"[5, 2]",5,2,3.130187707591113,Optimal,17.19900020398199,511.4926881259307
"[5, 3]",5,3,3.130198133024396,Optimal,26.99000020511448,541.4600404868834
"[5, 4]",5,4,3.13019794147688,Optimal,24.56200027372688,568.9897562628612
"[5, 5]",5,5,3.062014244697675,Optimal,34.80899948626757,606.763970748987
"[6, 1]",6,1,3.2009764947549177,Optimal,44.54599970486015,705.5140365706757
"[6, 2]",6,2,3.200769662337252,Optimal,36.51399991940707,745.0085944388993
"[6, 3]",6,3,3.2009765945702404,Optimal,40.32799992710352,788.3022127388977
"[6, 4]",6,4,3.2009698847546817,Optimal,31.35899996850639,822.679887291044
"[6, 5]",6,5,3.200975993542398,Optimal,45.24200025480241,870.9028129098006
"[6, 6]",6,6,3.007277730897528,Optimal,40.99400038830936,914.8618964008056
"[7, 1]",7,1,3.2871509307826843,Optimal,57.36800003796816,1023.6885858229361
"[7, 2]",7,2,3.2871510913172646,Optimal,59.82799977064133,1086.4857119498774
"[7, 3]",7,3,3.2871449201239047,Optimal,38.90300011262298,1128.3561063557863
"[7, 4]",7,4,3.2871509064742526,Optimal,47.25199991371483,1178.5815562899224
"[7, 5]",7,5,3.2871454949434025,Optimal,35.71900008246303,1217.2770743588917
"[7, 6]",7,6,3.2694335886095867,Optimal,88.61399958841503,1308.8570802086033
"[7, 7]",7,7,2.9660468373469158,Optimal,112.2740000020713,1424.0862082438543
