Point,x,y,Objective,Status,Time,Global_Time
"[1, 1]",1,1,9.89473684210525,Optimal,0.827999808825553,1.4482071460224688
"[2, 1]",2,1,4.061881684204534,Optimal,1.815999881364405,15.377131982706487
"[2, 2]",2,2,4.061879976422572,Optimal,0.55700009688735,16.5057761981152
"[3, 1]",3,1,3.3148454030723458,Optimal,2.005999605171383,31.994193674065173
"[3, 2]",3,2,3.314844563540698,Optimal,0.451999786309898,33.03580683469772
"[3, 3]",3,3,3.3148450704857764,Optimal,0.370000256225467,34.00195949105546
"[4, 1]",4,1,3.134330890278808,Optimal,2.87100006826222,49.81970090279356
"[4, 2]",4,2,3.134336886121988,Optimal,0.706999911926687,51.11475218785927
"[4, 3]",4,3,3.13433666434458,Optimal,0.679999706335366,52.39822918502614
"[4, 4]",4,4,3.13378334085194,Optimal,0.929000065661967,53.91449746582657
"[5, 1]",5,1,3.1301981330248903,Optimal,2.320000366307795,67.22202515788376
"[5, 2]",5,2,3.1301981330254653,Optimal,0.896000093780458,68.70052313478664
"[5, 3]",5,3,3.130191348655205,Optimal,1.185999903827906,70.48388995369896
"[5, 4]",5,4,3.1301913693112686,Optimal,1.034999918192625,72.11223907582462
"[5, 5]",5,5,3.062014530417045,Optimal,1.254000188782811,73.96000459697098
"[6, 1]",6,1,3.2009679016679167,Optimal,3.262000135146082,89.41689704172313
"[6, 2]",6,2,3.2009763638988007,Optimal,1.663000183179975,91.6866165958345
"[6, 3]",6,3,3.2009667693799924,Optimal,1.143000111915171,93.43580247368664
"[6, 4]",6,4,3.200976594585492,Optimal,1.56199992634356,95.60053157387301
"[6, 5]",6,5,3.2009696308623,Optimal,2.596999844536186,98.79504773300141
"[6, 6]",6,6,3.0072778389555883,Optimal,1.773000089451671,101.13707375479862
"[7, 1]",7,1,3.2871513562924397,Optimal,9.504000074230134,120.66772967204452
"[7, 2]",7,2,3.2871496377867913,Optimal,2.064000070095062,123.31939159985632
"[7, 3]",7,3,3.28714636773902,Optimal,2.735999668948353,126.63680195668712
"[7, 4]",7,4,3.2871513562925103,Optimal,3.69199994020164,130.9078805227764
"[7, 5]",7,5,3.287151356138209,Optimal,1.365999807603657,132.8547412767075
"[7, 6]",7,6,3.2694338174201545,Optimal,2.533000241965056,135.97349349875003
"[7, 7]",7,7,2.9660470721860226,Optimal,3.139000525698066,139.6927064890042
"[8, 1]",8,1,3.356175235128432,Optimal,5.054000322706999,155.86678130179644
"[8, 2]",8,2,3.3561622462639034,Optimal,2.63600021135062,159.1003654501401
"[8, 3]",8,3,3.356175235128432,Optimal,2.541000349447131,162.24729445483536
"[8, 4]",8,4,3.3561616716727682,Optimal,1.365000265650451,164.23373784311116
"[8, 5]",8,5,3.3561752117595764,Optimal,1.912999455817044,166.74526702612638
"[8, 6]",8,6,3.356175235130376,Optimal,1.382999564521015,168.74221719196066
"[8, 7]",8,7,3.262787575513781,Optimal,5.341000249609352,174.68670730898157
"[8, 8]",8,8,2.9344005049440876,Optimal,3.720000316388905,179.00465797213838
