Point,x,y,Objective,Status,Time,Global_Time
"[1, 1]",1,1,9.884851863760804,Optimal,43.42800008598715,47.762689758092165
"[2, 1]",2,1,4.061881684250354,Optimal,57.64100009109825,217.05950715811923
"[2, 2]",2,2,4.061881684530914,Optimal,26.79399945773184,248.75976183917373
"[3, 1]",3,1,3.3148454030723515,Optimal,63.84600000455976,419.88249047473073
"[3, 2]",3,2,3.3148454030619448,Optimal,50.53700020071119,475.39622816303745
"[3, 3]",3,3,3.3148454030723937,Optimal,37.31299981009215,517.4598713670857
"[4, 1]",4,1,3.134337036452612,Optimal,252.5190003449097,874.5886197681539
"[4, 2]",4,2,3.134337033176096,Optimal,83.92799980938435,963.2757227900438
"[4, 3]",4,3,3.134337036450972,Optimal,61.76400000695139,1029.809015341103
"[4, 4]",4,4,3.1337838981128,Optimal,31.85300000477582,1066.5857220771722
"[5, 1]",5,1,3.13019813302511,Optimal,204.3380003655329,1372.2752113901079
"[5, 2]",5,2,3.130198133025365,Optimal,168.1369997793809,1545.1370422029868
"[5, 3]",5,3,3.1301981309385054,Optimal,193.574999878183,1743.5644951779395
"[5, 4]",5,4,3.1301981328018202,Optimal,76.93300028331576,1825.3027684101835
"[5, 5]",5,5,3.06201457641079,Optimal,114.3759996397421,1944.4372569350526
"[6, 1]",6,1,3.2009765945833855,Optimal,291.9740003300831,2331.255095256027
"[6, 2]",6,2,3.2009765942425252,Optimal,244.3909998983145,2580.475156534929
"[6, 3]",6,3,3.2009765945830084,Optimal,387.827000208199,2973.2103723501787
"[6, 4]",6,4,3.200915338673712,Optimal,274.9550000298768,3252.8712625578046
"[6, 5]",6,5,3.2009765940989516,Optimal,107.8659998718649,3365.5262250751257
"[6, 6]",6,6,3.0072779729074375,Optimal,181.775000388734,3552.1145716337487
"[7, 1]",7,1,3.2871513562925037,Optimal,406.8319998448715,4049.6207962487824
"[7, 2]",7,2,3.2871513550984637,Optimal,304.4910001801327,4358.927517183125
"[7, 3]",7,3,3.287151355240872,Optimal,301.6330004436895,4665.321514301002
"[7, 4]",7,4,3.287151356287841,Optimal,144.9600000400096,4815.129931532778
"[7, 5]",7,5,3.28715135326172,Optimal,126.8839998403564,4946.9468018068
"[7, 6]",7,6,3.2694338309741706,Optimal,209.9479999858886,5161.687957138754
"[7, 7]",7,7,2.965911187241821,Optimal,390.4889998259023,5557.1918422579765
