Point,x,y,Objective,Status,Time,Global_Time
"[1, 1]",1,1,9.894735731367389,Optimal,0.043000420555472,0.6651985691860318
"[2, 1]",2,1,4.061881674754453,Optimal,0.039999908767641,13.46713132923469
"[2, 2]",2,2,4.061881644334256,Optimal,0.041000079363585,14.173617626074702
"[3, 1]",3,1,3.3148454016127418,Optimal,0.059000006876886,26.617281365208328
"[3, 2]",3,2,30.0,Evaluated_Infeasible,0.048999558202922,27.199672861024737
"[3, 3]",3,3,3.314845402928149,Optimal,0.039999908767641,27.774415147025138
"[4, 1]",4,1,3.134337036763747,Optimal,0.061000348068774,39.90184879815206
"[4, 2]",4,2,40.0,Evaluated_Infeasible,0.21499958820641,40.67215293133631
"[4, 3]",4,3,40.0,Evaluated_Infeasible,0.10199979878962,41.617910826113075
"[4, 4]",4,4,3.1337838944537593,Optimal,0.052000069990754,42.234914190135896
"[5, 1]",5,1,3.130198133025245,Optimal,0.056000123731792,53.93736084504053
"[5, 2]",5,2,50.0,Evaluated_Infeasible,0.107000023126602,54.62541819131002
"[5, 3]",5,3,49.75266938728998,Evaluated_Infeasible,1.348000508733094,56.552465816028416
"[5, 4]",5,4,50.0,Evaluated_Infeasible,0.067000114358962,57.19345930125564
"[5, 5]",5,5,3.062014576609987,Optimal,0.045000133104622,57.79380520619452
"[6, 1]",6,1,3.20097658619484,Optimal,0.076999934390187,69.41643293714151
"[6, 2]",6,2,41.20911384443905,Evaluated_Infeasible,1.327999611385167,71.30167325492948
"[6, 3]",6,3,43.56517454568746,Evaluated_Infeasible,5.605999566614628,77.46558087226003
"[6, 4]",6,4,12.21200995033969,Evaluated_Infeasible,0.072000338695943,78.11693701706827
"[6, 5]",6,5,59.99999844974296,Evaluated_Infeasible,0.155000039376318,78.84811588423327
"[6, 6]",6,6,3.0072779729183514,Optimal,0.059999548830092,79.47715034335852
"[7, 1]",7,1,3.287151356292489,Optimal,0.056000123731792,90.85634923307225
"[7, 2]",7,2,70.0,Evaluated_Infeasible,0.180000532418489,91.63011630624533
"[7, 3]",7,3,70.0,Evaluated_Infeasible,0.277000106871128,92.49552403623238
"[7, 4]",7,4,70.0,Evaluated_Infeasible,0.094999861903489,93.16782515402883
"[7, 5]",7,5,3.9575977554522224,Evaluated_Infeasible,0.065000401809812,93.82106085913256
"[7, 6]",7,6,70.0,Evaluated_Infeasible,1.051000133156776,95.44585514627397
"[7, 7]",7,7,2.9660470590035635,Optimal,0.039999908767641,96.04450934333727
"[8, 1]",8,1,3.3561752348987905,Optimal,0.035999855026603,106.62831955729052
