Point,x,y,Objective,Status,Time,Global_Time
"[1, 1]",1,1,9.884851778044458,Optimal,12.958000274375081,13.301096400013193
"[2, 1]",2,1,4.061881656418285,Optimal,3.9959996240213513,18.45949380006641
"[2, 2]",2,2,4.061881684529497,Optimal,7.89000007789582,26.68509509996511
"[3, 1]",3,1,3.314843911913793,Optimal,19.886000314727426,47.59251129999757
"[3, 2]",3,2,3.3148454030605414,Optimal,10.985999554395676,58.91252289991826
"[3, 3]",3,3,3.3148454030712937,Optimal,6.0590001521632075,65.30265319999307
"[4, 1]",4,1,3.134336565536637,Optimal,18.18700027652085,84.18914250005037
"[4, 2]",4,2,3.1343370089645624,Optimal,14.283000002615154,98.8013595000375
"[4, 3]",4,3,3.1343370256219063,Optimal,7.704999949783087,106.83871020004153
"[4, 4]",4,4,3.133783431199568,Optimal,11.757999868132174,118.94431980000809
"[5, 1]",5,1,3.1301980363698174,Optimal,14.638000214472413,134.059167600004
"[5, 2]",5,2,3.1301980419147264,Optimal,19.39199964981526,153.80208429996856
"[5, 3]",5,3,3.130197998141173,Optimal,15.923000033944845,170.05601199995726
"[5, 4]",5,4,3.130198085619109,Optimal,20.198000106029212,190.5890156000387
"[5, 5]",5,5,3.0620145375322467,Optimal,24.093999643810093,215.0164131000638
"[5, 5]",5,5,3.062010350175832,Final,2.01700022444129,217.18813599995337
