Point,x,y,Objective,Status,Time,Global_Time
"[1, 1]",1,1,9.894736842112804,Optimal,0.04900018684566021,0.49020240013487637
"[2, 1]",2,1,4.061881684288504,Optimal,0.04299979191273451,1.5179490000009537
"[2, 2]",2,2,4.061881684438627,Optimal,0.04199962131679058,1.9159903000108898
"[3, 1]",3,1,3.314845396496619,Optimal,0.043999962508678436,2.8905191000085324
"[3, 2]",3,2,3.3148454033431345,Optimal,0.699999975040555,3.927261400036514
"[3, 3]",3,3,3.3148454030726304,Optimal,0.045000133104622364,4.345044899964705
"[4, 1]",4,1,3.134337036452467,Optimal,0.04800001624971628,5.060291700065136
"[4, 2]",4,2,3.134337036452847,Optimal,0.14699993189424276,5.539717900101095
"[4, 3]",4,3,3.1343370365116803,Optimal,0.4040003987029195,6.2914434999693185
"[4, 4]",4,4,3.1337838981419464,Optimal,0.046999845653772354,6.673737100092694
"[5, 1]",5,1,3.1301981242334613,Optimal,0.04100007936358452,7.286009300034493
"[5, 2]",5,2,3.130198133025183,Optimal,0.15599958132952452,7.792330600088462
"[5, 3]",5,3,3.130198126294792,Optimal,0.18599967006593943,8.319276000140235
"[5, 4]",5,4,3.1301981330254316,Optimal,0.061000348068773746,8.734084900002927
"[5, 5]",5,5,3.0620145766184854,Optimal,0.046999845653772354,9.111636700108647
