Point,x,y,Objective,Status,Time,Global_Time
"[2, 2, 1]",2,2,167427.65711470306,Optimal,0.024000322446227074,0.4169026999734342
"[2, 2, 2]",2,2,204601.96762877452,Optimal,0.03500031307339668,0.52322329999879
"[2, 2, 3]",2,2,241776.27814284601,Optimal,0.03499968443065882,0.6341866999864578
"[2, 3, 1]",2,3,178545.19583897587,Optimal,0.037999567575752735,0.7432248000986874
"[2, 3, 2]",2,3,209964.94866578083,Optimal,0.03900036681443453,0.8560564001090825
"[2, 3, 3]",2,3,241384.70149258256,Optimal,0.037999567575752735,0.9664990999735892
"[3, 2, 1]",3,2,185768.8125052478,Optimal,0.024000322446227074,1.131707699969411
"[3, 2, 2]",3,2,222943.12301931926,Optimal,0.03600048366934061,1.2387375002726912
"[3, 2, 3]",3,2,260117.43353339075,Optimal,0.0380001962184906,1.345297200139612
"[3, 3, 1]",3,3,181201.6655117858,Optimal,0.03399951383471489,1.4492878001183271
"[3, 3, 2]",3,3,210580.838346606,Optimal,0.03499968443065882,1.554615099914372
"[3, 3, 3]",3,3,239960.0111814262,Optimal,0.035999855026602745,1.6646131998859346
"[2, 2, 1]",2,2,167427.65711470306,Final,0.023000151850283146,1.7577010998502374
