Point,x,y,Objective,Status,Time,Global_Time
"[2, 2, 1]",2,2,167427.65711470306,Optimal,0.024000322446227074,1.1153307002969086
"[2, 2, 2]",2,2,204601.96762877452,Optimal,0.035999855026602745,1.2861089003272355
"[2, 2, 3]",2,2,241776.27814284601,Optimal,0.03700002562254667,1.4588389000855386
"[2, 3, 1]",2,3,178545.19583897686,Optimal,0.035999855026602745,1.633710500318557
"[2, 3, 2]",2,3,209964.94866578083,Optimal,0.035999855026602745,1.8047909000888467
"[2, 3, 3]",2,3,241384.70149258425,Optimal,0.03700002562254667,1.9886533999815583
"[3, 2, 1]",3,2,185768.8125052478,Optimal,0.023999693803489208,2.457313900347799
"[3, 2, 2]",3,2,222943.12301931926,Optimal,0.035999855026602745,2.6483311001211405
"[3, 2, 3]",3,2,260117.43353339075,Optimal,0.034000142477452755,2.819457700010389
"[3, 3, 1]",3,3,181201.6655117858,Optimal,0.03399951383471489,2.990780800115317
"[3, 3, 2]",3,3,210580.838346606,Optimal,0.03499968443065882,3.198500200174749
"[3, 3, 3]",3,3,239960.0111814262,Optimal,0.03500031307339668,3.3838491002097726
"[2, 2, 1]",2,2,167427.65711470306,Final,0.023999693803489208,3.565920799970627
