Point,x,y,Objective,Status,Time,Global_Time
"[2, 2, 1]",2,2,167427.65711470306,Optimal,0.02700020559132099,1.5134119000285864
"[2, 2, 2]",2,2,204601.96762877452,Optimal,0.034000142477452755,1.7290954999625683
"[2, 2, 3]",2,2,241776.27814284601,Optimal,0.0380001962184906,1.922286500222981
"[2, 3, 1]",2,3,178545.19583897654,Optimal,0.0380001962184906,2.123452899977565
"[2, 3, 2]",2,3,209964.94866578083,Optimal,0.03899973817169666,2.3245471003465354
"[2, 3, 3]",2,3,241384.70149258437,Optimal,0.043000420555472374,2.5261540999636054
"[3, 2, 1]",3,2,185768.8125052478,Optimal,0.0259994063526392,3.0499565000645816
"[3, 2, 2]",3,2,222943.12301931926,Optimal,0.035999855026602745,3.2607128000818193
"[3, 2, 3]",3,2,260117.43353339075,Optimal,0.03500031307339668,3.448990600183606
"[3, 3, 1]",3,3,181201.6655117858,Optimal,0.03499968443065882,3.639564000070095
"[3, 3, 2]",3,3,210580.838346606,Optimal,0.03700002562254667,3.832345000002533
"[3, 3, 3]",3,3,239960.0111814262,Optimal,0.03399951383471489,4.019339700229466
"[2, 2, 1]",2,2,167427.65711470306,Final,0.026000034995377064,4.199432000052184
