Point,x,y,Objective,Status,Time,Global_Time
"[2, 2, 1]",2,2,167427.65711470306,Optimal,0.027999747544527054,0.3853398999199271
"[2, 2, 2]",2,2,204601.96762877452,Optimal,0.02899991814047098,0.4813665999099612
"[2, 2, 3]",2,2,241776.27814284601,Optimal,0.02800037618726492,0.5783971999771893
"[2, 3, 1]",2,3,178545.1895509325,Optimal,0.027999747544527054,0.6731380000710487
"[2, 3, 2]",2,3,209964.94462862614,Optimal,0.02800037618726492,0.7700593001209199
"[2, 3, 3]",2,3,241384.69438237677,Optimal,0.0259994063526392,0.8629910000599921
"[3, 2, 1]",3,2,185768.8125052478,Optimal,0.031000259332358837,1.0271423999220133
"[3, 2, 2]",3,2,222943.12223141122,Optimal,0.05199944134801626,1.1563094998709857
"[3, 2, 3]",3,2,260117.43353339075,Optimal,0.02899991814047098,1.2555733998306096
"[3, 3, 1]",3,3,181201.66549080313,Optimal,0.02700020559132099,1.3506776997819543
"[3, 3, 2]",3,3,210580.8383175916,Optimal,0.03000008873641491,1.4509350000880659
"[3, 3, 3]",3,3,239960.0111360933,Optimal,0.02700020559132099,1.5497857998125255
"[2, 2, 1]",2,2,167427.65711470306,Final,0.02800037618726492,1.646354400087148
