Point,x,y,Objective,Status,Time,Global_Time
"[2, 2, 1]",2,2,167427.65711470306,Optimal,0.04800001624971628,1.1436466998420656
"[2, 2, 2]",2,2,204601.96762877452,Optimal,0.048999558202922344,1.3334556999616325
"[2, 2, 3]",2,2,241776.27814284601,Optimal,0.0509998993948102,1.5230939998291433
"[2, 3, 1]",2,3,178545.19583897732,Optimal,0.04800001624971628,1.7423684997484088
"[2, 3, 2]",2,3,209964.94865319502,Optimal,0.05200006999075413,1.9346524998545647
"[2, 3, 3]",2,3,241384.70149258446,Optimal,0.053000240586698055,2.126061199698597
"[3, 2, 1]",3,2,185768.8125052478,Optimal,0.05299961194396019,2.5231075999327004
"[3, 2, 2]",3,2,222943.12301931926,Optimal,0.04900018684566021,2.7132413000799716
"[3, 2, 3]",3,2,260117.43353339075,Optimal,0.05599949508905411,2.902869400102645
"[3, 3, 1]",3,3,181201.66548840405,Optimal,0.054999953135848045,3.0944745000451803
"[3, 3, 2]",3,3,210580.83831943327,Optimal,0.054999953135848045,3.284026499837637
"[3, 3, 3]",3,3,239960.0111504625,Optimal,0.05599949508905411,3.4741151998750865
"[2, 2, 1]",2,2,167427.65711470306,Final,0.07699993439018726,3.7237229999154806
