Point,x,y,Objective,Status,Time,Global_Time
"[2, 2, 1]",2,2,167427.65711470306,Optimal,0.8330000331625342,1.2336329999379814
"[2, 2, 2]",2,2,204601.96762877452,Optimal,0.7169997319579124,2.017348200082779
"[2, 2, 3]",2,2,241776.27814284601,Optimal,0.7900002412497997,2.874760300386697
"[2, 3, 1]",2,3,178545.1956069264,Optimal,0.7630000356584787,3.706287800334394
"[2, 3, 2]",2,3,209964.94824400963,Optimal,0.7040000287815928,4.484374199993908
"[2, 3, 3]",2,3,241384.70147803987,Optimal,0.4429995082318783,4.994516900274903
"[3, 2, 1]",3,2,185768.8125052478,Optimal,0.7200002437457442,5.845477200113237
"[3, 2, 2]",3,2,222943.12301931926,Optimal,0.7840004749596119,6.696149500086904
"[3, 2, 3]",3,2,260117.43353339075,Optimal,0.6769998231902719,7.44292030017823
"[3, 3, 1]",3,3,181201.66549080305,Optimal,0.46699983067810535,7.980226099956781
"[3, 3, 2]",3,3,210580.8383175917,Optimal,0.5360002862289548,8.585506400093436
"[3, 3, 3]",3,3,239960.01113609338,Optimal,0.48799964133650064,9.141545900143683
"[2, 2, 1]",2,2,167427.65711470306,Final,0.754000386223197,9.961242600344121
