Method,Approach,Solver,Objective,Time,Status,User_time,NT
MINLP,bigm,antigone,9.894736842,0.070999539,infeasible,NA,5
MINLP,hull,antigone,3.062014576,28.87499991,optimal,NA,5
MINLP,bigm,baron,3.061619438,235.4900002,optimal,NA,5
MINLP,hull,baron,3.061923809,617.9559999,optimal,NA,5
MINLP,bigm,scip,3.061996978,190.8959999,optimal,NA,5
MINLP,hull,scip,3.061998586,170.0570004,optimal,NA,5
MINLP,bigm,dicopt,3.062014572,0.480999704,optimal,NA,5
MINLP,hull,dicopt,3.130198133,0.477999821,optimal,NA,5
MINLP,bigm,sbb,3.062014577,1.668999949,optimal,NA,5
MINLP,hull,sbb,3.062014577,0.492000324,optimal,NA,5
MINLP,bigm,knitro,3.130198124,0.699999975,optimal,NA,5
MINLP,hull,knitro,3.062014577,1.044000196,optimal,NA,5
GDPopt,LOA,knitro,9.894736842,5.611002162,optimal,NA,5
GDPopt,GLOA,knitro,9.894736842,5.371072147,optimal,NA,5
GDPopt,LBB,knitro,3.062014576,103.2682152,optimal,NA,5
GDPopt,LOA,baron,4.061881684,2.035209694,optimal,NA,5
GDPopt,GLOA,baron,3.062013995,18.40710698,optimal,NA,5
GDPopt,LBB,baron,3.061961165,112.758061,optimal,NA,5
D-SDA_MIP_bigm,k=Infinity,knitro,3.062014577,2.72,optimal,0.395001378,5
D-SDA_MIP_hull,k=Infinity,knitro,3.062014577,3.94,optimal,0.422001584,5
D-SDA_MIP_bigm,k=2,knitro,3.130198124,2.35,optimal,0.359001523,5
D-SDA_MIP_hull,k=2,knitro,3.130198133,3.08,optimal,0.247000647,5
D-SDA_MIP_bigm,k=Infinity,baron,3.062014249,87.34,optimal,84.8890003,5
D-SDA_MIP_hull,k=Infinity,baron,3.061873189,191.09,optimal,187.5450003,5
D-SDA_MIP_bigm,k=2,baron,3.130197689,43.58,optimal,41.63700007,5
D-SDA_MIP_hull,k=2,baron,3.130198133,374.39,optimal,371.4759995,5
MINLP,bigm,antigone,9.894736842,0.059999549,infeasible,NA,6
MINLP,hull,antigone,3.007277974,847.4550003,optimal,NA,6
MINLP,bigm,baron,3.007106063,379.608,optimal,NA,6
MINLP,hull,baron,3.007170679,900.0580003,optimal,NA,6
MINLP,bigm,scip,3.007277503,380.0719999,optimal,NA,6
MINLP,hull,scip,3.007105455,360.0200002,optimal,NA,6
MINLP,bigm,dicopt,3.00727797,1.066000178,optimal,NA,6
MINLP,hull,dicopt,3.007277974,0.845000194,optimal,NA,6
MINLP,bigm,sbb,3.007277964,6.195000093,optimal,NA,6
MINLP,hull,sbb,3.007277979,1.945999428,optimal,NA,6
MINLP,bigm,knitro,3.007277961,2.779999631,optimal,NA,6
MINLP,hull,knitro,3.007277974,0.844999566,optimal,NA,6
GDPopt,LOA,knitro,9.894736842,8.601285466,optimal,NA,6
GDPopt,GLOA,knitro,9.894736842,8.382789056,optimal,NA,6
GDPopt,LBB,knitro,3.00727795,207.2869025,optimal,NA,6
GDPopt,LOA,baron,4.061881685,2.635271266,optimal,NA,6
GDPopt,GLOA,baron,3.007277808,33.37717248,optimal,NA,6
GDPopt,LBB,baron,3.007277169,198.7461571,optimal,NA,6
D-SDA_MIP_bigm,k=Infinity,knitro,3.007277974,3.54,optimal,0.321999611,6
D-SDA_MIP_hull,k=Infinity,knitro,3.007277974,6.67,optimal,1.876000059,6
D-SDA_MIP_bigm,k=2,knitro,3.130198133,2.94,optimal,0.262000691,6
D-SDA_MIP_hull,k=2,knitro,3.130198133,4.23,optimal,0.264999946,6
D-SDA_MIP_bigm,k=Infinity,baron,3.007277713,167.37,optimal,164.067999,6
D-SDA_MIP_hull,k=Infinity,baron,3.007221484,223.47,optimal,218.6329999,6
D-SDA_MIP_bigm,k=2,baron,3.130168123,73.04,optimal,70.3180002,6
D-SDA_MIP_hull,k=2,baron,3.130198133,521.18,optimal,517.2169988,6
MINLP,bigm,antigone,9.89473684,0.062000519,infeasible,NA,7
MINLP,hull,antigone,2.966047072,899.4840004,optimal,NA,7
MINLP,bigm,baron,2.966047072,900.0479998,optimal,NA,7
MINLP,hull,baron,2.965947971,940.746,optimal,NA,7
MINLP,bigm,scip,2.966046633,335.0210002,optimal,NA,7
MINLP,hull,scip,2.966047069,509.7640004,optimal,NA,7
MINLP,bigm,dicopt,2.966047049,1.903999806,optimal,NA,7
MINLP,hull,dicopt,3.062014577,1.78400008,optimal,NA,7
MINLP,bigm,sbb,2.966047073,47.52600014,optimal,NA,7
MINLP,hull,sbb,2.966047074,0.562000321,optimal,NA,7
MINLP,bigm,knitro,2.96604706,3.512000036,optimal,NA,7
MINLP,hull,knitro,2.966047072,1.032000035,optimal,NA,7
GDPopt,LOA,knitro,9.89473684,12.6178293,optimal,NA,7
GDPopt,GLOA,knitro,9.89473684,12.65941403,optimal,NA,7
GDPopt,LBB,knitro,2.96604707,346.7658087,optimal,NA,7
GDPopt,LOA,baron,4.061881685,2.567475171,optimal,NA,7
GDPopt,GLOA,baron,2.96604443,54.47212308,optimal,NA,7
GDPopt,LBB,baron,2.96604707,341.3789196,optimal,NA,7
D-SDA_MIP_bigm,k=Infinity,knitro,2.966047072,5.28,optimal,1.035001175,7
D-SDA_MIP_hull,k=Infinity,knitro,2.966047072,7.08,optimal,0.629999978,7
D-SDA_MIP_bigm,k=2,knitro,3.130198125,4.09,optimal,0.938998628,7
D-SDA_MIP_hull,k=2,knitro,3.130198133,5,optimal,0.268999999,7
D-SDA_MIP_bigm,k=Infinity,baron,2.966046833,259.88,optimal,255.5839989,7
D-SDA_MIP_hull,k=Infinity,baron,2.966003896,344.68,optimal,338.2539998,7
D-SDA_MIP_bigm,k=2,baron,3.130197959,98.03,optimal,94.87600105,7
D-SDA_MIP_hull,k=2,baron,3.130198133,695.79,optimal,691.0000006,7
MINLP,bigm,antigone,9.894736842,0.065000402,infeasible,NA,8
MINLP,hull,antigone,2.934405103,900.5630003,optimal,NA,8
MINLP,bigm,baron,2.934274366,979.0889995,optimal,NA,8
MINLP,hull,baron,2.934405103,900.0130001,optimal,NA,8
MINLP,bigm,scip,2.934381345,820.4000003,optimal,NA,8
MINLP,hull,scip,2.9344051,900.6299998,optimal,NA,8
MINLP,bigm,dicopt,2.934405102,2.120999736,optimal,NA,8
MINLP,hull,dicopt,2.934405103,2.874999493,optimal,NA,8
MINLP,bigm,sbb,2.934405083,214.6749998,optimal,NA,8
MINLP,hull,sbb,2.934405102,2.739000181,optimal,NA,8
MINLP,bigm,knitro,2.93440509,126.2500004,optimal,NA,8
MINLP,hull,knitro,2.934405103,6.670000032,optimal,NA,8
GDPopt,LOA,knitro,9.894736842,38.31865212,optimal,NA,8
GDPopt,GLOA,knitro,9.894736842,16.86806713,optimal,NA,8
GDPopt,LBB,knitro,2.934316589,608.6007535,optimal,NA,8
GDPopt,LOA,baron,4.061881684,2.554805874,optimal,NA,8
GDPopt,GLOA,baron,2.934402035,75.86305947,optimal,NA,8
GDPopt,LBB,baron,2.934316589,616.0774677,optimal,NA,8
D-SDA_MIP_bigm,k=Infinity,knitro,2.934405103,6.1,optimal,0.670001144,8
D-SDA_MIP_hull,k=Infinity,knitro,2.934405103,9.25,optimal,0.996000809,8
D-SDA_MIP_bigm,k=2,knitro,3.130198133,4.21,optimal,0.554999756,8
D-SDA_MIP_hull,k=2,knitro,3.130198133,5.84,optimal,0.262998976,8
D-SDA_MIP_bigm,k=Infinity,baron,2.934404917,341.72,optimal,336.264001,8
D-SDA_MIP_hull,k=Infinity,baron,2.93434904,550.2,optimal,541.9720006,8
D-SDA_MIP_bigm,k=2,baron,3.130198036,115.96,optimal,112.2670001,8
D-SDA_MIP_hull,k=2,baron,3.130198131,590.09,optimal,584.5039993,8
MINLP,bigm,antigone,9.894736842,0.064000231,infeasible,NA,9
MINLP,hull,antigone,2.909533262,900.108,optimal,NA,9
MINLP,bigm,baron,2.909533058,900.0539996,optimal,NA,9
MINLP,hull,baron,2.90933224,900.0690002,optimal,NA,9
MINLP,bigm,scip,2.909507037,529.0689996,optimal,NA,9
MINLP,hull,scip,2.909533259,900.834,optimal,NA,9
MINLP,bigm,dicopt,2.909533262,3.776999982,optimal,NA,9
MINLP,hull,dicopt,2.909533262,4.9470003,optimal,NA,9
MINLP,bigm,sbb,2.909533253,900.0179997,optimal,NA,9
MINLP,hull,sbb,2.909533262,1.103000203,optimal,NA,9
MINLP,bigm,knitro,2.909533249,27.14000002,optimal,NA,9
MINLP,hull,knitro,2.909533262,3.418999887,optimal,NA,9
GDPopt,LOA,knitro,9.894736842,25.53731393,optimal,NA,9
GDPopt,GLOA,knitro,9.894736842,25.42835909,optimal,NA,9
GDPopt,LBB,knitro,9.894736842,900.1048416,maxTimeLimit,NA,9
GDPopt,LOA,baron,3.134307136,4.473906623,optimal,NA,9
GDPopt,GLOA,baron,2.90953126,128.5622929,optimal,NA,9
GDPopt,LBB,baron,9.894736842,900.1004575,maxTimeLimit,NA,9
D-SDA_MIP_bigm,k=Infinity,knitro,2.909533262,7.24,optimal,0.440000254,9
D-SDA_MIP_hull,k=Infinity,knitro,2.909533262,10.81,optimal,0.431000604,9
D-SDA_MIP_bigm,k=2,knitro,3.130198124,4.38,optimal,0.258000009,9
D-SDA_MIP_hull,k=2,knitro,3.130198133,6.79,optimal,0.266999658,9
D-SDA_MIP_bigm,k=Infinity,baron,2.909533038,567.26,optimal,560.4740018,9
D-SDA_MIP_hull,k=Infinity,baron,2.909521782,900.42,maxTimeLimit,890.1020017,9
D-SDA_MIP_bigm,k=2,baron,3.130197512,124.66,optimal,120.534001,9
D-SDA_MIP_hull,k=2,baron,3.130198133,591.55,optimal,585.1840003,9
MINLP,bigm,antigone,9.894736832,0.069999998,infeasible,NA,10
MINLP,hull,antigone,2.889536969,899.876,optimal,NA,10
MINLP,bigm,baron,2.88953675,900.0479998,optimal,NA,10
MINLP,hull,baron,2.889527488,900.0610001,optimal,NA,10
MINLP,bigm,scip,2.889536583,901.5590005,optimal,NA,10
MINLP,hull,scip,2.889536969,900.9769999,optimal,NA,10
MINLP,bigm,dicopt,2.889536961,5.342999962,optimal,NA,10
MINLP,hull,dicopt,2.889536935,8.426999906,optimal,NA,10
MINLP,bigm,sbb,2.889536968,40.81799991,optimal,NA,10
MINLP,hull,sbb,2.934405106,2.6660003,optimal,NA,10
MINLP,bigm,knitro,2.889536956,11.9380004,optimal,NA,10
MINLP,hull,knitro,2.889536969,3.593000025,optimal,NA,10
GDPopt,LOA,knitro,3.399830158,11.28485865,optimal,NA,10
GDPopt,GLOA,knitro,2.966047068,37.44360579,optimal,NA,10
GDPopt,LBB,knitro,9.894736832,900.1032794,maxTimeLimit,NA,10
GDPopt,LOA,baron,3.314845402,3.327202367,optimal,NA,10
GDPopt,GLOA,baron,2.889536409,182.2807652,optimal,NA,10
GDPopt,LBB,baron,9.894736832,900.1035082,maxTimeLimit,NA,10
D-SDA_MIP_bigm,k=Infinity,knitro,2.889536969,9,optimal,0.711999508,10
D-SDA_MIP_hull,k=Infinity,knitro,2.889536969,14.84,optimal,2.099999925,10
D-SDA_MIP_bigm,k=2,knitro,3.130198133,5.21,optimal,0.47399851,10
D-SDA_MIP_hull,k=2,knitro,3.130198133,7.56,optimal,0.264999946,10
D-SDA_MIP_bigm,k=Infinity,baron,2.889536754,686.1,optimal,677.6799983,10
D-SDA_MIP_hull,k=Infinity,baron,2.889536969,900.49,maxTimeLimit,889.1769991,10
D-SDA_MIP_bigm,k=2,baron,3.130144703,196.41,optimal,189.6880006,10
D-SDA_MIP_hull,k=2,baron,3.130198133,686.72,optimal,679.4600015,10
MINLP,bigm,antigone,9.894736842,0.079000276,infeasible,NA,11
MINLP,hull,antigone,2.873140226,900.1610002,optimal,NA,11
MINLP,bigm,baron,2.873140018,900.0059996,optimal,NA,11
MINLP,hull,baron,2.873140128,900.0570001,optimal,NA,11
MINLP,bigm,scip,2.873139851,901.0820002,optimal,NA,11
MINLP,hull,scip,2.873140222,900.9239996,optimal,NA,11
MINLP,bigm,dicopt,2.873140162,17.39999992,optimal,NA,11
MINLP,hull,dicopt,2.873140027,14.64399998,optimal,NA,11
MINLP,bigm,sbb,2.873140207,282.2260001,optimal,NA,11
MINLP,hull,sbb,3.200974062,900.0129995,optimal,NA,11
MINLP,bigm,knitro,2.873140214,34.27499954,optimal,NA,11
MINLP,hull,knitro,2.873140226,3.587000258,optimal,NA,11
GDPopt,LOA,knitro,2.909533262,44.14634012,optimal,NA,11
GDPopt,GLOA,knitro,2.909533262,48.76460393,optimal,NA,11
GDPopt,LBB,knitro,9.894736842,900.1163287,maxTimeLimit,NA,11
GDPopt,LOA,baron,3.314845403,3.21548415,optimal,NA,11
GDPopt,GLOA,baron,2.873133957,253.6108993,optimal,NA,11
GDPopt,LBB,baron,9.894736842,900.1133508,maxTimeLimit,NA,11
D-SDA_MIP_bigm,k=Infinity,knitro,2.873140226,10.76,optimal,0.623998954,11
D-SDA_MIP_hull,k=Infinity,knitro,2.873140226,17.25,optimal,1.672999375,11
D-SDA_MIP_bigm,k=2,knitro,3.130198133,5.75,optimal,0.290999981,11
D-SDA_MIP_hull,k=2,knitro,9.894736842,3.73,optimal,0.980999507,11
D-SDA_MIP_bigm,k=Infinity,baron,2.873140013,900.4,maxTimeLimit,891.4199989,11
D-SDA_MIP_hull,k=Infinity,baron,2.889536969,900.56,maxTimeLimit,887.6749987,11
D-SDA_MIP_bigm,k=2,baron,3.130198051,127.82,optimal,122.4469992,11
D-SDA_MIP_hull,k=2,baron,3.130198133,606.29,optimal,597.9890002,11
MINLP,bigm,antigone,9.88485199,0.083000329,infeasible,NA,12
MINLP,hull,antigone,2.859465608,899.3200001,optimal,NA,12
MINLP,bigm,baron,2.859465469,900.0000004,optimal,NA,12
MINLP,hull,baron,2.859465602,900.0649996,optimal,NA,12
MINLP,bigm,scip,2.859465253,900.9550005,optimal,NA,12
MINLP,hull,scip,2.859465606,901.3969999,optimal,NA,12
MINLP,bigm,dicopt,2.859465609,21.38600035,optimal,NA,12
MINLP,hull,dicopt,2.859465608,24.78099992,optimal,NA,12
MINLP,bigm,sbb,2.859465607,35.78099997,optimal,NA,12
MINLP,hull,sbb,2.859465543,3.219000343,optimal,NA,12
MINLP,bigm,knitro,2.90953325,21.02700009,optimal,NA,12
MINLP,hull,knitro,2.859465608,6.195000093,optimal,NA,12
GDPopt,LOA,knitro,9.894736842,63.62072392,optimal,NA,12
GDPopt,GLOA,knitro,9.894736842,63.11372588,optimal,NA,12
GDPopt,LBB,knitro,9.88485199,900.1171728,maxTimeLimit,NA,12
GDPopt,LOA,baron,3.314845403,3.055953525,optimal,NA,12
GDPopt,GLOA,baron,2.859462769,367.3755123,optimal,NA,12
GDPopt,LBB,baron,9.88485199,900.1170665,maxTimeLimit,NA,12
D-SDA_MIP_bigm,k=Infinity,knitro,2.859465608,12.87,optimal,0.917998189,12
D-SDA_MIP_hull,k=Infinity,knitro,3.130198134,23.17,optimal,3.225001367,12
D-SDA_MIP_bigm,k=2,knitro,3.130198133,6.35,optimal,0.260000979,12
D-SDA_MIP_hull,k=2,knitro,9.894736842,4.05,optimal,1.027999981,12
D-SDA_MIP_bigm,k=Infinity,baron,2.859465395,900.43,maxTimeLimit,889.5309998,12
D-SDA_MIP_hull,k=Infinity,baron,2.889536968,900.59,maxTimeLimit,886.1899994,12
D-SDA_MIP_bigm,k=2,baron,3.130197459,117.79,optimal,111.6630008,12
D-SDA_MIP_hull,k=2,baron,3.130198133,595.73,optimal,586.5320002,12
MINLP,bigm,antigone,9.894736842,0.082999701,infeasible,NA,13
MINLP,hull,antigone,2.847894632,899.4610002,optimal,NA,13
MINLP,bigm,baron,2.84788282,900.0570001,optimal,NA,13
MINLP,hull,baron,2.847888173,900.0619997,optimal,NA,13
MINLP,bigm,scip,2.847894283,900.9829996,optimal,NA,13
MINLP,hull,scip,2.847894628,900.915,optimal,NA,13
MINLP,bigm,dicopt,2.847894621,21.14799998,optimal,NA,13
MINLP,hull,dicopt,2.847894632,39.7400002,optimal,NA,13
MINLP,bigm,sbb,2.847894622,29.09899978,optimal,NA,13
MINLP,hull,sbb,2.847894632,900.0390002,optimal,NA,13
MINLP,bigm,knitro,2.909533249,20.46199988,optimal,NA,13
MINLP,hull,knitro,2.847894632,8.992999652,optimal,NA,13
GDPopt,LOA,knitro,9.894736844,83.11576016,optimal,NA,13
GDPopt,GLOA,knitro,9.894736844,82.86753145,optimal,NA,13
