Method,Approach,Solver,Objective,Time,Status,User_time,NT
MINLP,bigm,antigone,9.894736842,0.138000282,infeasible,NA,5
MINLP,bigm,baron,3.061847859,263.5650001,optimal,NA,5
MINLP,bigm,scip,3.061996408,197.4319997,optimal,NA,5
MINLP,bigm,dicopt,3.062014534,0.752999587,optimal,NA,5
MINLP,bigm,sbb,3.062014577,2.714999858,optimal,NA,5
MINLP,hull,knitro,3.062014577,0.341000338,optimal,NA,5
MINLP,bigm,knitro,3.062014563,0.662999949,optimal,NA,5
MINLP,hull,knitro,2.889536969,2.259000018,optimal,NA,10
MINLP,bigm,antigone,9.894736832,0.07199971,infeasible,NA,10
MINLP,bigm,scip,2.889536584,900.7800002,optimal,NA,10
MINLP,bigm,dicopt,2.889536968,5.046000215,optimal,NA,10
D-SDA_MIP_bigm,k=2,knitro,3.130198133,2.64,optimal,0.196999661,5
D-SDA_MIP_bigm,k=Infinity,knitro,3.062014577,3.07,optimal,0.22799992,5
MINLP,bigm,antigone,9.894736842,0.080999988,infeasible,NA,15
MINLP,bigm,baron,2.889536784,968.0670001,optimal,NA,10
GDPopt,GLOA,baron,2.829390654,754.8984585,optimal,NA,15
MINLP,hull,baron,2.829394063,923.0429999,optimal,NA,15
D-SDA_MIP_bigm,k=2,baron,3.130198086,149.23,optimal,139.7109985,15
D-SDA_MIP_hull,k=2,baron,3.130198133,895.87,optimal,882.1129998,15
D-SDA_MIP_bigm,k=Infinity,baron,2.873140094,901.17,maxTimeLimit,885.5849999,15
D-SDA_MIP_hull,k=Infinity,baron,2.934322847,902.16,maxTimeLimit,884.2180006,15
MINLP,bigm,antigone,9.894736842,0.163000147,infeasible,NA,5
MINLP,hull,antigone,3.062014576,23.20200023,optimal,NA,5
MINLP,hull,baron,3.06174301,791.6130003,optimal,NA,5
MINLP,bigm,scip,3.061996408,281.4460003,optimal,NA,5
MINLP,hull,scip,3.061998585,383.2959998,optimal,NA,5
MINLP,hull,dicopt,3.062014559,0.970000145,optimal,NA,5
MINLP,bigm,sbb,2.889536963,28.51500011,optimal,NA,10
MINLP,hull,sbb,3.06201456,0.756999641,optimal,NA,5
D-SDA_MIP_hull,k=2,knitro,3.130198133,3.36,optimal,0.376000023,5
D-SDA_MIP_hull,k=Infinity,knitro,3.062014577,4.16,optimal,0.463001034,5
GDPopt,LOA,baron,4.061881684,4.4145634,optimal,NA,5
GDPopt,GLOA,baron,3.062014577,30.4350254,optimal,NA,5
GDPopt,LBB,baron,3.062014375,112.8891175,optimal,NA,5
D-SDA_MIP_hull,k=Infinity,knitro,3.062014577,4.51,optimal,0.498001347,5
