Method,Approach,Solver,Objective,Time,Status,User_time
MINLP,bigm,antigone,167427.657114703,0.03699939697980881,optimal,NA
MINLP,hull,antigone,167427.65711470298,0.0380001962184906,optimal,NA
MINLP,bigm,baron,167427.65711470306,0.043000420555472374,optimal,NA
MINLP,hull,baron,167427.65711470306,0.043999962508678436,optimal,NA
MINLP,bigm,scip,167427.65711470632,0.08699975442141294,optimal,NA
MINLP,hull,scip,167427.65711470635,0.08899946697056293,optimal,NA
MINLP,bigm,dicopt,167427.65709811688,4.1360002476722,optimal,NA
MINLP,hull,dicopt,167427.65709811688,4.067999962717295,optimal,NA
MINLP,bigm,sbb,167427.65708514056,0.3739996813237667,optimal,NA
MINLP,hull,sbb,167427.65707133772,0.3149996744468808,optimal,NA
GDPopt,LOA,msnlp,167427.65710080235,1.9704881999641657,optimal,NA
GDPopt,LBB,msnlp,167427.65711470306,1.5850762999616563,optimal,NA
GDPopt,LOA,knitro,167427.65709795416,0.5383788999170065,optimal,NA
GDPopt,LBB,knitro,167427.65711470306,1.5644276002421975,optimal,NA
GDPopt,LOA,baron,167427.65711470263,0.5616286001168191,optimal,NA
GDPopt,LBB,baron,167427.65711470306,1.6341679999604821,optimal,NA
D-SDA,k=Infinity,msnlp,167427.65711470306,9.27,optimal,8.08699973858893
D-SDA,k=2,msnlp,167427.65711470306,6.47,optimal,5.6950002908706665
D-SDA,k=Infinity,knitro,167427.65711470306,1.46,optimal,0.31200041994452477
D-SDA,k=2,knitro,167427.65711470306,1.05,optimal,0.27300005313009024
D-SDA,k=Infinity,baron,167427.65711470306,1.57,optimal,0.4110009642317891
D-SDA,k=2,baron,167427.65711470306,1.07,optimal,0.2999990014359355
Enumeration,total,baron,167427.65711470306,1.63,optimal,NA
MINLP,bigm,knitro,167427.6570743824,0.045999675057828426,optimal,NA
MINLP,hull,knitro,167427.6570795212,0.03600048366934061,optimal,NA
