Method,Approach,Solver,Objective,Time,Status,User_time
MINLP,bigm,antigone,167427.657114703,0.03699939697980881,optimal,NA
MINLP,hull,antigone,167427.65711470298,0.0380001962184906,optimal,NA
MINLP,bigm,baron,167427.65711470306,0.043000420555472374,optimal,NA
MINLP,hull,baron,167427.65711470306,0.043999962508678436,optimal,NA
MINLP,bigm,scip,167427.65711470632,0.08699975442141294,optimal,NA
MINLP,hull,scip,167427.65711470635,0.08899946697056293,optimal,NA
MINLP,bigm,dicopt,167427.65709811688,4.1360002476722,optimal,NA
MINLP,hull,dicopt,167427.65709811688,4.067999962717295,optimal,NA
MINLP,bigm,sbb,167427.65708514056,0.3739996813237667,optimal,NA
MINLP,hull,sbb,167427.65707133772,0.3149996744468808,optimal,NA
GDPopt,LOA,msnlp,167427.65710080235,1.9704881999641657,optimal,NA
GDPopt,LBB,msnlp,167427.65711470306,1.5850762999616563,optimal,NA
GDPopt,LOA,knitro,167427.65709795416,0.5383788999170065,optimal,NA
GDPopt,LBB,knitro,167427.65711470306,1.5644276002421975,optimal,NA
GDPopt,LOA,baron,167427.65711470263,0.5616286001168191,optimal,NA
GDPopt,LBB,baron,167427.65711470306,1.6341679999604821,optimal,NA
D-SDA,k=Infinity,msnlp,167427.65711470306,8.63,optimal,7.510998914949596
D-SDA,k=2,msnlp,167427.65711470306,6.08,optimal,5.2799992728978395
D-SDA,k=Infinity,knitro,167427.65711470306,1.44,optimal,0.30600065365433693
D-SDA,k=2,knitro,167427.65711470306,1.0,optimal,0.25200024247169495
D-SDA,k=Infinity,baron,167427.65711470306,1.53,optimal,0.36800054367631674
D-SDA,k=2,baron,167427.65711470306,1.07,optimal,0.3000008873641491
