Method,Approach,Solver,Objective,Time,Status
MINLP,bigm,antigone,167427.65711470306,0.06699948571622372,optimal
MINLP,hull,antigone,167427.65711470306,0.054999953135848045,optimal
MINLP,bigm,scip,167427.65708679144,0.11399996001273394,optimal
MINLP,hull,scip,167427.6568300063,0.18699984066188335,optimal
MINLP,bigm,baron,167427.65711470245,0.05900000687688589,optimal
MINLP,hull,baron,167427.65711470268,0.048999558202922344,optimal
MINLP,bigm,sbb,167427.65711470306,0.017999927513301373,optimal
MINLP,hull,sbb,167427.65711470277,0.021999981254339218,optimal
MINLP,bigm,dicopt,167427.65711470306,0.03299997188150883,optimal
MINLP,hull,dicopt,167427.65711470306,0.0319998012855649,optimal
MINLP,bigm,alphaecp,167427.65711470306,0.18599967006593943,optimal
MINLP,hull,alphaecp,167427.657114703,0.21400004625320435,optimal
MINLP,bigm,bonminh,167427.6569618024,0.15799992252141237,optimal
MINLP,hull,bonminh,167427.65696977644,0.167000200599432,optimal
GDPopt,LOA,msnlp,167427.657114703,0.8925525001250207,optimal
GDPopt,GLOA,msnlp,239960.0111814263,0.3277165999170393,optimal
GDPopt,LOA,conopt,167427.657114703,0.5291937999427319,optimal
GDPopt,GLOA,conopt,239960.0111814263,0.3182667000219226,optimal
GDPopt,LBB,baron,167427.65711470306,1.7728491998277605,optimal
GDPopt,LBB,scip,167427.65711470306,2.6178468000143766,optimal
D-SDA,k = Infinity,msnlp,167427.65711470306,3.36,Optimal
D-SDA,k = 2,msnlp,167427.65711470306,1.86,Optimal
D-SDA,k = Infinity,conopt,167427.65711470306,2.5,Optimal
D-SDA,k = 2,conopt,167427.65711470306,1.34,Optimal
